lam_nm,txx_re,txx_im,rxx_re,rxx_im,T,R,P_out_spec,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qxy_re,Qxy_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im,dphi_rad_deg,U_proxy
1312.0,-0.02335355617105961,0.24099628627300262,-0.7892566919326782,-0.15361055731773376,0.1503939453404819,0.8497320881430794,1.0001260334835613,-1.1819434739418548e-31,1.9557942669351706e-30,-1.847064381251347e-31,8.802257152042821e-31,-1.6995545264503609e-31,1.0661679593842827e-30,1.5762897703399539e-22,4.829472998501177e-23,2.618540323522044e-22,1.0394751665489836e-22,8.430782819689846e-23,-3.354299687331601e-23,5.090449009797025e-37,-2.315317767549711e-36,-8.862969585734054e-38,3.7021533958784807e-37,-3.1659739973099236e-37,4.264398114739021e-37,1.3665171961470698e-12,7.646259085215297e-13,-1.016541526811562,-0.5757237937858816,-1.1062360027902702,0.5202763979234204,-0.903790154906978,-0.05461867300997716,0.18775664311419482,-0.8539841788831101,-0.1602277938011422,0.40362959358634665,-98.94140191489332,30.383617401123047
1314.0,-0.005175226368010044,0.2109261155128479,-0.8060687780380249,-0.11209545284509659,0.13474356528622883,0.8651994330507997,0.9999429983370285,-9.897178529438819e-32,1.9551832164581185e-30,-1.5107447306994781e-31,8.861044717253926e-31,-1.34419209081203e-31,1.1009827679334438e-30,1.6399876254935093e-22,4.246702681466062e-23,2.4531435405819596e-22,8.866126189149676e-23,8.506843024153044e-23,-3.8217965257718397e-23,4.235176154717339e-37,-2.364433371133285e-36,-7.144296025865006e-38,3.897587049875357e-37,-3.0306351665591268e-37,4.463084920228529e-37,1.3558940834486559e-12,7.779047083101672e-13,-1.0279440342133401,-0.6128289865399792,-1.0949992168818403,0.5742505926092594,-0.9021325808702169,-0.04566614082474759,0.1557355061855782,-0.8694472542431736,-0.13645709220171146,0.3775592938332971,-97.25728464975762,31.66438865661621
1316.0,0.010920765809714794,0.17840340733528137,-0.8199838399887085,-0.06744316965341568,0.12053835996839846,0.8796027381806918,1.0001410981490904,-7.878269867050639e-32,1.9528869112089534e-30,-1.1649863731538012e-31,8.905773986437402e-31,-9.490636147191287e-32,1.1369125589862697e-30,1.7022458892144317e-22,3.5915837082352396e-23,2.251257112747529e-22,7.409169544618729e-23,8.592910468509206e-23,-4.3507732867557384e-23,3.3008831458635754e-37,-2.4023189354278768e-36,-5.172328442659191e-38,4.084629246282957e-37,-2.8779714125221534e-37,4.6595811504242175e-37,1.3432527557241485e-12,7.855581726895254e-13,-1.0431635922815943,-0.6501787244015086,-1.078833466208609,0.629562945685355,-0.8997036407223349,-0.0362955378588234,0.12101111487766936,-0.8806954982097933,-0.11386000883852421,0.34596070883732843,-95.51352591667415,33.083892822265625
1318.0,0.02438909374177456,0.14314714074134827,-0.8305987119674683,-0.019753767177462578,0.10767362657592018,0.892490084272738,1.0001637108486583,-5.780924258856108e-32,1.9479476234023366e-30,-8.094803116845256e-32,8.927282345989288e-31,-5.106263502120733e-32,1.174569446240823e-30,1.7631761499159904e-22,2.8617964270471524e-23,2.0020213145898725e-22,6.063982637614142e-23,8.670413878896119e-23,-4.897967875892779e-23,2.2897772085755436e-37,-2.4242515891305678e-36,-2.918668328610302e-38,4.266041382782585e-37,-2.7092442316471575e-37,4.843908835995992e-37,1.3273826147840854e-12,7.849637651257967e-13,-1.0623120935187553,-0.6875874465136648,-1.056829397834579,0.6857924246166412,-0.8960662861090645,-0.02659255961853484,0.08368917723479644,-0.8860408783206365,-0.09304651434279564,0.30719267533368294,-93.6958797933897,34.664676666259766
1320.0,0.034916408360004425,0.10534124076366425,-0.8370485305786133,0.03112638182938099,0.09662611487787003,0.90330223891882,0.99992835379669,-3.6223361707582476e-32,1.9400989043852453e-30,-4.4966648424586005e-32,8.926635329438302e-31,-2.147240045433577e-33,1.2141862312713789e-30,1.8201676715818387e-22,2.045273028883259e-23,1.6972105016773345e-22,4.884004942813706e-23,8.769339487388431e-23,-5.455130143567147e-23,1.207936710294036e-37,-2.4261533469737627e-36,-3.5399120653570676e-39,4.4290663125065785e-37,-2.5305989945016602e-37,5.016241140405029e-37,1.3080497907741914e-12,7.741007829270756e-13,-1.085949285931214,-0.724600502561467,-1.028451975640484,0.7425972129553512,-0.891103627732097,-0.01663769251831353,0.04401525356850948,-0.8840509097297312,-0.07482724113427788,0.26002754082282836,-91.78065831119685,36.4465217590332
1322.0,0.04198182374238968,0.06461325287818909,-0.8388961553573608,0.08541236817836761,0.0877596196881255,0.9122335224909927,0.9999931421791182,-1.4300167000289955e-32,1.9284708004948362e-30,-7.954137854255213e-33,8.907187977879564e-31,5.31321007941899e-32,1.256578463316735e-30,1.8726646958581091e-22,1.1309763364491198e-23,1.3223352348199203e-22,3.953188684128757e-23,8.89225095218078e-23,-6.08408479486883e-23,6.95941834723046e-39,-2.4023264531201314e-36,2.535095129382654e-38,4.5701815317092295e-37,-2.335180065895795e-37,5.179619032555945e-37,1.2842367221624469e-12,7.502540308083631e-13,-1.1142834675524158,-0.7612147420589452,-0.9925993568321542,0.799727694595177,-0.8844227081076156,-0.0065582493764190465,0.0025282320000789386,-0.8727221601545899,-0.060474690998194386,0.20228686539252197,-89.7411255762899,38.509727478027344
1324.0,0.04492194205522537,0.021869786083698273,-0.8352386951446533,0.1424645185470581,0.08161775260099019,0.918588865137242,1.0002066177382323,7.780877775172406e-33,1.912889905250878e-30,2.9439463329773666e-32,8.865799301651007e-31,1.153503436257126e-31,1.3016338983821655e-30,1.917376358240181e-22,1.2472268559651894e-24,8.746750804411256e-23,3.39639053724833e-23,9.055814808484705e-23,-6.756990866772127e-23,-1.0846111997591924e-37,-2.3488549829364887e-36,5.721035378296211e-38,4.678766830048697e-37,-2.1313047855678216e-37,5.333964350708769e-37,1.2559029653570435e-12,7.1226057897589e-13,-1.1475746749722306,-0.7961199343110084,-0.9491070319921842,0.8561188660876355,-0.875951907499108,0.003563025091235347,-0.03928303237872412,-0.8507209437640657,-0.05187847564999031,0.13360303935801623,272.41076623417325,40.909332275390625
1326.0,0.04320139065384865,-0.02378006838262081,-0.8247179985046387,0.20286157727241516,0.07858034252592237,0.9213857102292179,0.9999660527551403,2.932531154359136e-32,1.8916700881445716e-30,6.808540653176284e-32,8.798018393103861e-31,1.871579411938933e-31,1.3509130235930035e-30,1.950961528351118e-22,-9.938399165756936e-24,3.254328804450546e-23,3.3721856161184766e-23,9.248169238596973e-23,-7.520041992101831e-23,-2.230873023801286e-37,-2.254750318236435e-36,9.252916241638227e-38,4.741068039911403e-37,-1.9052848462347825e-37,5.462993444207038e-37,1.2210738914538377e-12,6.553841310786597e-13,-1.1865516336486588,-0.8296025239709421,-0.8958801723142785,0.911317305393599,-0.8649283754086361,0.01340841314281654,-0.08055540663729419,-0.8141760055962887,-0.051431064953966196,0.049633565638629654,274.7623651995755,43.79703903198242
1328.0,0.035936783999204636,-0.07149572670459747,-0.8064539432525635,0.26564326882362366,0.07943114371826618,0.9205144989084896,0.9999456426267558,4.9292531727758335e-32,1.863955103330131e-30,1.0739611006985291e-31,8.707105721026163e-31,2.7024663330148183e-31,1.4053342823283494e-30,1.9695264052011528e-22,-2.2091256093447883e-23,-3.4323148125198685e-23,4.116356610262802e-23,9.524958754598492e-23,-8.374845468735693e-23,-3.2864849157902094e-37,-2.1098221737367425e-36,1.3044162128073945e-37,4.743134761661605e-37,-1.6696232562772105e-37,5.574534941045741e-37,1.1789709394312366e-12,5.768259066213466e-13,-1.23112392272841,-0.8604594192247679,-0.8324665302835881,0.96366693931077,-0.8509727335563029,0.02250408306151782,-0.11831570169009288,-0.759550392967373,-0.06268627827791433,-0.052269290988686073,277.3390090223357,47.378761291503906
1330.0,0.021791499108076096,-0.12192438542842865,-0.7779957056045532,0.3321438431739807,0.08513890034058082,0.9148980957941408,1.0000369961347217,6.749150467898731e-32,1.8279256107277218e-30,1.4857273681814236e-31,8.593593254672207e-31,3.706113721716238e-31,1.4680354414885448e-30,1.9672150029840814e-22,-3.547848207326071e-23,-1.1756690824305638e-22,6.037448666803819e-23,9.895598787093807e-23,-9.413093977031903e-23,-4.164711889457728e-37,-1.896537488917753e-36,1.7115214779186427e-37,4.66068852434317e-37,-1.4186840544868334e-37,5.656894152880404e-37,1.1277764414614877e-12,4.727110447319201e-13,-1.2833306410191008,-0.88808744419663,-0.7556260908218577,1.0131331440770386,-0.8332688544069004,0.030766333408758565,-0.14948188689673247,-0.6807145606673163,-0.09180352977471536,-0.178768512281636,280.27077265932786,52.091487884521484
