run_id,period_nm,height_nm,seed,target_wavelength_nm,final_Fco,best_Fco,final_S_ED,final_S_MD,balance,binary_Fco,binary_S_ED,binary_S_MD,fill_fraction,nx,ny,fourier_order_x,fourier_order_y,runtime_s,status
P0870_H0175_seed029_lam1332p5,870,175,29,1332.5,1.9256532192230225,2.3814611434936523,6.209619998931885,7.577677249908447,0.8194621801376343,1.925675630569458,6.209688663482666,7.577934265136719,0.6085678339004517,174,174,7,7,259.71402859687805,completed
P0870_H0175_seed047_lam1332p5,870,175,47,1332.5,1.9249130487442017,2.462918519973755,6.212690830230713,7.562727928161621,0.821488082408905,1.9248859882354736,6.212568283081055,7.562468528747559,0.6093935966491699,174,174,7,7,260.11629366874695,completed
P0870_H0200_seed047_lam1332p5,870,200,47,1332.5,1.706580400466919,2.1288986206054688,5.04565954208374,6.017262935638428,0.8385306596755981,1.7065521478652954,5.0454840660095215,6.01713228225708,0.5900052785873413,174,174,7,7,259.40412974357605,completed
P0750_H0125_seed029_lam1332p5,750,125,29,1332.5,0.36046740412712097,0.36047595739364624,1.278579592704773,1.6083117723464966,0.7949824333190918,0.36033451557159424,1.2784305810928345,1.6080718040466309,0.4676888883113861,150,150,7,7,279.0024380683899,completed
P0750_H0125_seed047_lam1332p5,750,125,47,1332.5,0.3164513111114502,0.3164674639701843,1.231375813484192,1.529239535331726,0.8052210211753845,0.316747784614563,1.2316974401474,1.5297468900680542,0.4650222361087799,150,150,7,7,280.957412481308,completed
P0790_H0100_seed011_lam1332p5,790,100,11,1332.5,0.3054822087287903,0.30549633502960205,1.3310046195983887,1.3840727806091309,0.9616579413414001,0.30549269914627075,1.331011176109314,1.3840949535369873,0.3883592486381531,158,158,7,7,768.0038633346558,completed
P0790_H0100_seed047_lam1332p5,790,100,47,1332.5,0.2972531020641327,0.29726818203926086,1.3179348707199097,1.37498140335083,0.9585110545158386,0.29723721742630005,1.3179415464401245,1.374930739402771,0.4171607196331024,158,158,7,7,270.14774918556213,completed
P0790_H0100_seed029_lam1332p5,790,100,29,1332.5,0.29163849353790283,0.2916446626186371,1.3110226392745972,1.3667962551116943,0.9591938853263855,0.2915530800819397,1.3109204769134521,1.3666692972183228,0.4122336208820343,158,158,7,7,298.2648346424103,completed
P0750_H0125_seed011_lam1332p5,750,125,11,1332.5,0.18876701593399048,0.1887262910604477,1.1014724969863892,1.3243027925491333,0.8317376375198364,0.18878616392612457,1.1014915704727173,1.3243305683135986,0.41280001401901245,150,150,7,7,275.69840240478516,completed
P0750_H0100_seed011_lam1332p5,750,100,11,1332.5,0.09442305564880371,0.09442384541034698,1.148340106010437,1.0518269538879395,0.9159542322158813,0.09442726522684097,1.1483255624771118,1.051849126815796,0.3782222270965576,150,150,7,7,278.7234351634979,completed
P0750_H0100_seed029_lam1332p5,750,100,29,1332.5,0.0824548527598381,0.08246991038322449,1.1319482326507568,1.0418202877044678,0.9203780293464661,0.08247513324022293,1.1319760084152222,1.0418369770050049,0.3881777822971344,150,150,7,7,273.7649505138397,completed
