tag,theta,alpha,phase_deg,R_cross,pixels_outside
A_P239_H200_s11_wf,30.0,165,-35.125559203111216,0.3697206377983093,0.0
A_P239_H200_s11_wf,30.0,180,-60.99117140124768,0.3730175495147705,0.0
A_P239_H200_s11_wf,30.0,-1,-2.0552868119802707,11.925573870688398,0.33137136697769165
A_P239_H200_s11_wf,60.0,0,-15.770862397329838,0.3251856565475464,0.0
A_P239_H200_s11_wf,60.0,15,-27.14748161099695,0.3356873393058777,0.0
A_P239_H200_s11_wf,60.0,30,-45.180096265179394,0.3450387120246887,0.0
A_P239_H200_s11_wf,60.0,45,-62.30296387286199,0.38784509897232056,0.0
A_P239_H200_s11_wf,60.0,60,-119.12796576721202,0.33945953845977783,0.0
A_P239_H200_s11_wf,60.0,75,157.94285165050562,0.28971973061561584,0.0
A_P239_H200_s11_wf,60.0,90,68.2248403361006,0.2623685896396637,0.0
A_P239_H200_s11_wf,60.0,105,33.56006960006054,0.28935036063194275,0.0
A_P239_H200_s11_wf,60.0,120,19.299394471619078,0.33835774660110474,0.0
A_P239_H200_s11_wf,60.0,135,9.684557667559638,0.3876115083694458,0.0
A_P239_H200_s11_wf,60.0,150,0.4567173007998574,0.34509479999542236,0.0
A_P239_H200_s11_wf,60.0,165,-7.144040204356245,0.33576780557632446,0.0
A_P239_H200_s11_wf,60.0,180,-15.770862397329838,0.3251856565475464,0.0
A_P239_H200_s11_wf,60.0,-1,-2.398901478261683,41.65004788680756,0.2623685896396637
A_P239_H200_s11_wf,75.0,0,-4.146113937060385,0.5120298862457275,0.0
A_P239_H200_s11_wf,75.0,15,-7.785222932030723,0.5256558656692505,0.0
A_P239_H200_s11_wf,75.0,30,-13.807310223224462,0.5432982444763184,0.0
A_P239_H200_s11_wf,75.0,45,-15.886251613168032,0.604816198348999,0.0
A_P239_H200_s11_wf,75.0,60,-28.247478454185625,0.5336729288101196,0.0
A_P239_H200_s11_wf,75.0,75,-21.399325886655742,0.42784103751182556,0.0
A_P239_H200_s11_wf,75.0,90,19.53375533751514,0.30441951751708984,0.0
A_P239_H200_s11_wf,75.0,105,17.742317954078562,0.42788243293762207,0.0
A_P239_H200_s11_wf,75.0,120,9.65240967468368,0.5340927839279175,0.0
A_P239_H200_s11_wf,75.0,135,3.8959616738032525,0.6047811508178711,0.0
A_P239_H200_s11_wf,75.0,150,-0.07254457976293596,0.5433056950569153,0.0
A_P239_H200_s11_wf,75.0,165,-2.0250885499891926,0.5256927013397217,0.0
A_P239_H200_s11_wf,75.0,180,-4.146113937060385,0.5120298862457275,0.0
A_P239_H200_s11_wf,75.0,-1,0.09451567562030788,12.616095361345863,0.30441951751708984
rectangle,45.0,0,-65.55805444637164,0.2685168981552124,-1.0
rectangle,45.0,15,-88.91566899260363,0.2690283954143524,-1.0
rectangle,45.0,30,-119.75130249124572,0.2689124345779419,-1.0
rectangle,45.0,45,-154.20329575916696,0.25541144609451294,-1.0
rectangle,45.0,60,159.00879829313448,0.24330464005470276,-1.0
rectangle,45.0,75,115.85175624878867,0.20967097580432892,-1.0
rectangle,45.0,90,70.02443808804804,0.18574565649032593,-1.0
rectangle,45.0,105,31.550190814135906,0.20929214358329773,-1.0
rectangle,45.0,120,4.226059593748091,0.24301600456237793,-1.0
rectangle,45.0,135,-16.087084787975794,0.25384244322776794,-1.0
rectangle,45.0,150,-32.9296807057088,0.2681460976600647,-1.0
rectangle,45.0,165,-47.76823252661565,0.26939207315444946,-1.0
rectangle,45.0,180,-65.55805444637164,0.2685168981552124,-1.0
rectangle,45.0,-1,-2.163551186977202,19.131726887329336,0.18574565649032593
A_P239_H200_s11_wf,45.0,0,-36.20916188474457,0.32129746675491333,0.0
A_P239_H200_s11_wf,45.0,15,-58.68168636738044,0.3301049768924713,0.0
A_P239_H200_s11_wf,45.0,30,-90.30386396027369,0.33927977085113525,0.0
A_P239_H200_s11_wf,45.0,45,-122.78684346407448,0.36654335260391235,0.0
A_P239_H200_s11_wf,45.0,60,179.49831395404055,0.3563750982284546,0.0
A_P239_H200_s11_wf,45.0,75,129.70299739498103,0.346031129360199,0.0
A_P239_H200_s11_wf,45.0,90,80.25921018193452,0.3385055661201477,0.0
A_P239_H200_s11_wf,45.0,105,45.76314170329919,0.34598690271377563,0.0
A_P239_H200_s11_wf,45.0,120,24.236489137683368,0.35720372200012207,0.0
A_P239_H200_s11_wf,45.0,135,10.84157036861864,0.3666037321090698,0.0
A_P239_H200_s11_wf,45.0,150,-4.258259239929647,0.33927106857299805,0.0
A_P239_H200_s11_wf,45.0,165,-18.29395647484735,0.3302178978919983,0.0
A_P239_H200_s11_wf,45.0,180,-36.20916188474457,0.32129746675491333,0.0
A_P239_H200_s11_wf,45.0,-1,-2.1712297419348983,25.21220327154212,0.32129746675491333
B_P252_H185_s47_wf,0.0,0,85.72062944227672,0.38000786304473877,0.0
B_P252_H185_s47_wf,0.0,15,52.77663266006758,0.37198179960250854,0.0
B_P252_H185_s47_wf,0.0,30,21.52836011290833,0.3566521406173706,0.0
B_P252_H185_s47_wf,0.0,45,-6.080183599613399,0.35130205750465393,0.0
B_P252_H185_s47_wf,0.0,60,-33.42235249582557,0.35682061314582825,0.0
