tag,variant,theta,R_cross,R_co,T_tot,A
A_P239_H200_s11_wf,lossless,85.0,0.8372802734375,0.004831273108720779,0.1578211784362793,6.718188524246216e-05
B_P252_H185_s47_wf,real,0.0,0.38000786304473877,0.1783333122730255,0.20999155938625336,0.23166723549365997
B_P252_H185_s47_wf,real,5.0,0.3806271553039551,0.17859584093093872,0.20864158868789673,0.2321353256702423
B_P252_H185_s47_wf,real,10.0,0.38226842880249023,0.1793125867843628,0.20489661395549774,0.23352234065532684
B_P252_H185_s47_wf,real,15.0,0.38438689708709717,0.18058273196220398,0.19787782430648804,0.23715251684188843
B_P252_H185_s47_wf,real,20.0,0.3879905939102173,0.18192049860954285,0.18603748083114624,0.24405136704444885
B_P252_H185_s47_wf,real,25.0,0.3906916379928589,0.1851501762866974,0.17155969142913818,0.2525984048843384
B_P252_H185_s47_wf,real,30.0,0.3919500708580017,0.19053491950035095,0.15151900053024292,0.26599591970443726
B_P252_H185_s47_wf,real,35.0,0.3881787657737732,0.19971877336502075,0.12582306563854218,0.28627943992614746
B_P252_H185_s47_wf,real,40.0,0.3720467686653137,0.21511045098304749,0.09630536288022995,0.316537469625473
B_P252_H185_s47_wf,real,45.0,0.32911646366119385,0.23965197801589966,0.0709657371044159,0.3602657914161682
B_P252_H185_s47_wf,real,50.0,0.2436220645904541,0.26472342014312744,0.08414138853549957,0.4075131416320801
B_P252_H185_s47_wf,real,55.0,0.15591461956501007,0.24774587154388428,0.19077108800411224,0.4055684208869934
B_P252_H185_s47_wf,real,60.0,0.18628360331058502,0.16212177276611328,0.32993823289871216,0.32165634632110596
B_P252_H185_s47_wf,real,65.0,0.29946091771125793,0.07941465079784393,0.3820866048336029,0.23903778195381165
B_P252_H185_s47_wf,real,70.0,0.40701109170913696,0.033082593232393265,0.36896002292633057,0.19094619154930115
B_P252_H185_s47_wf,real,75.0,0.508315920829773,0.01161682978272438,0.3245566189289093,0.15551063418388367
B_P252_H185_s47_wf,real,80.0,0.6298030614852905,0.003158818231895566,0.251626580953598,0.11541145294904709
B_P252_H185_s47_wf,real,85.0,0.7908076047897339,0.0005497421370819211,0.1442919224500656,0.06435064971446991
B_P252_H185_s47_wf,lossless,0.0,0.5296342372894287,0.2008708119392395,0.269497811794281,-2.9907096177339554e-06
