tag,theta,pol,model,t_re,t_im,T_model
B_P252_H185_s47_wf,0.0,s,full,-0.05109862610697746,0.06317301094532013,0.006601898901918215
B_P252_H185_s47_wf,30.0,p,bg_only,-0.019290124997496605,0.989017903804779,0.9785285229688183
B_P252_H185_s47_wf,30.0,p,bg+ED,-0.3179435002094038,0.8917080100134364,0.8962312444475299
B_P252_H185_s47_wf,30.0,p,bg+MD,-0.1517700145196498,0.11820548772623873,0.03700667463589268
B_P252_H185_s47_wf,30.0,p,bg+EQ,-0.07609751592326508,0.9202787237580157,0.8527037613313737
B_P252_H185_s47_wf,30.0,p,ladder_all,-0.5072307806573255,-0.04784358611186734,0.25957207357828355
B_P252_H185_s47_wf,30.0,p,full,-0.5460515022277832,-0.021143117919564247,0.2986192745205793
B_P252_H185_s47_wf,30.0,s,bg_only,-0.019001152366399765,0.9742021560668945,0.949430884676637
B_P252_H185_s47_wf,30.0,s,bg+ED,-0.26126212162256535,0.3432763246412891,0.1860965312539558
B_P252_H185_s47_wf,30.0,s,bg+MD,0.5419247160471231,0.7928186690547752,0.9222438398645401
B_P252_H185_s47_wf,30.0,s,bg+EQ,-0.2910573884817695,1.0437470624914507,1.1741223338493598
B_P252_H185_s47_wf,30.0,s,ladder_all,0.02760751067558781,0.23143774405372586,0.054325604018380616
B_P252_H185_s47_wf,30.0,s,full,-0.022534282878041267,0.06253733485937119,0.004418712156140706
B_P252_H185_s47_wf,60.0,p,bg_only,0.606543242931366,0.7935159206390381,0.9975622218533182
B_P252_H185_s47_wf,60.0,p,bg+ED,-1.0897536708225657,2.3626917901361724,6.769875558248127
B_P252_H185_s47_wf,60.0,p,bg+MD,1.5295228615970018,-1.1526823840525506,3.668116862652953
B_P252_H185_s47_wf,60.0,p,bg+EQ,0.5121061489175077,0.9860358424409573,1.234519390337369
B_P252_H185_s47_wf,60.0,p,ladder_all,-0.261211146170788,0.6090134072465031,0.4391285930898518
B_P252_H185_s47_wf,60.0,p,full,-0.3934110701084137,0.6815942525863647,0.6193429952426124
B_P252_H185_s47_wf,60.0,s,bg_only,0.5561060309410095,0.7275310158729553,0.8385552967060974
B_P252_H185_s47_wf,60.0,s,bg+ED,0.06226330317229456,0.05793302317601012,0.0072329540962371925
B_P252_H185_s47_wf,60.0,s,bg+MD,0.9326306502627747,0.6164006594566868,1.2497497027882043
B_P252_H185_s47_wf,60.0,s,bg+EQ,0.37920176215892554,0.8813204635942363,0.9205197359743938
B_P252_H185_s47_wf,60.0,s,ladder_all,0.26188365371197575,0.10059211448102257,0.07870182157729719
B_P252_H185_s47_wf,60.0,s,full,0.20077630877494812,0.014907289296388626,0.04053335343945954
B_P252_H185_s47_wf,75.0,p,bg_only,0.8393408060073853,0.4319401979446411,0.8910653232295829
B_P252_H185_s47_wf,75.0,p,bg+ED,-0.5401538966136648,0.36486488897414915,0.4248926192330439
