tag,theta,phi,pol,f_ED,f_MD,f_EQ,f_MQ,px_in_ED,py_in_ED,pz_in_ED,mx_in_MD,my_in_MD,mz_in_MD,dominant
A_P239_H200_s11_wf,40.0,45.0,p,0.623884361315545,0.33439753680639567,0.028029865004194163,0.013688236873865117,0.49479930314545617,0.11210386013827131,0.3930968367162726,0.5337985290770256,0.33623830123335124,0.1299631696896233,ED
A_P239_H200_s11_wf,40.0,45.0,s,0.5862905599462997,0.3799135350735022,0.02366158432539129,0.010134320654806891,0.3831799731651269,0.13650073880133134,0.4803192880335417,0.6145686359588056,0.2913675190956285,0.09406384494556577,ED
A_P239_H200_s11_wf,60.0,0.0,p,0.9407516583360782,0.0007198676607196811,0.0412810679495805,0.017247406053621656,0.37024008784184026,2.4045856264475836e-06,0.6297575075725332,0.07966803252667987,0.8769335261009491,0.043398441372370845,ED
A_P239_H200_s11_wf,60.0,0.0,s,0.11483282835217089,0.8666759353446293,0.015409387852989844,0.0030818484502099595,0.05741549133733551,0.86208087184562,0.08050363681704438,0.6294985552004548,3.7122404951191007e-06,0.3704977325590501,MD
A_P239_H200_s11_wf,60.0,45.0,p,0.7411234107291118,0.21970233467548497,0.026619210613306053,0.012555043982097171,0.4567293273727595,0.05410907950471878,0.48916159312252183,0.5172951607347331,0.18779293990881846,0.2949118993564484,ED
A_P239_H200_s11_wf,60.0,45.0,s,0.5623176309516486,0.4102373317036731,0.020182074811362884,0.007262962533315571,0.30198960810345044,0.10777879167635256,0.590231600220197,0.6810393238481869,0.10827980464118338,0.21068087151062984,ED
A_P239_H200_s11_wf,75.0,0.0,p,0.924656976801785,0.014256271345014811,0.04313865324822846,0.017948098604971662,0.4011434362513326,1.6569069854553755e-06,0.598854906841682,0.0037111547019079783,0.9940283264029656,0.0022605188951264517,ED
A_P239_H200_s11_wf,75.0,0.0,s,0.05394170038662423,0.9267449669541148,0.0162817939728312,0.0030315386864298616,0.15838061230495906,0.6860649921746622,0.1555543955203786,0.545722128474412,4.012962437273643e-06,0.4542738585631506,MD
A_P239_H200_s11_wf,75.0,45.0,p,0.7835131338645264,0.17941713334703108,0.02506062717023128,0.012009105618211335,0.45450645802099665,0.03559730250337455,0.5098962394756288,0.4764947161224149,0.12473699834116116,0.3987682855364239,ED
A_P239_H200_s11_wf,75.0,45.0,s,0.4969737323281614,0.4796158719421913,0.017517686940077146,0.005892708789570164,0.2795470236448011,0.11286561651492269,0.6075873598402762,0.6755818095801351,0.05390962261779519,0.2705085678020698,ED
