tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,abs_rx,abs_ry,dphi_r_deg,energy_x
rectangle,55.0,15.0,0.2587052285671234,0.06563206762075424,0.05013330280780792,0.3617532253265381,0.31390947103500366,0.41519439220428467,0.6321957111358643,-233.8702392578125,1.0
rectangle,55.0,30.0,0.2584758400917053,0.1332102119922638,0.04855377599596977,0.2763705253601074,0.33194342255592346,0.38087308406829834,0.5996280312538147,-273.54248046875,1.0
rectangle,55.0,45.0,0.23741163313388824,0.2601678967475891,0.03531383350491524,0.14717495441436768,0.3552455008029938,0.3801802098751068,0.658606231212616,-337.41461181640625,1.0000000298023224
rectangle,55.0,60.0,0.19643259048461914,0.38572049140930176,0.009922931902110577,0.04549580067396164,0.37235110998153687,0.47485265135765076,0.7953391075134277,335.0474548339844,0.9999999850988388
rectangle,55.0,75.0,0.1486360877752304,0.45361387729644775,0.00845282431691885,0.02977515198290348,0.3679748773574829,0.5761900544166565,0.8785203099250793,314.58489990234375,0.9999999739229679
rectangle,55.0,90.0,0.12484507262706757,0.4660152792930603,0.028594505041837692,0.0653560608625412,0.34378355741500854,0.6191651225090027,0.8935073018074036,308.0747985839844,1.0
rectangle,60.0,0.0,0.2654668688774109,0.03213491290807724,0.051237206906080246,0.3997601568698883,0.30263808369636536,0.40244433283805847,0.6582112312316895,-208.25465393066406,1.0000000298023224
rectangle,60.0,15.0,0.2676088809967041,0.044566214084625244,0.0514865480363369,0.38015761971473694,0.30766722559928894,0.38451626896858215,0.6442327499389648,-219.07386779785156,0.9999999701976776
rectangle,60.0,30.0,0.262914776802063,0.10136185586452484,0.05150901526212692,0.3011360764503479,0.3345872759819031,0.33515453338623047,0.616533100605011,-257.8481750488281,0.9999999850988388
rectangle,60.0,45.0,0.23616409301757812,0.22916275262832642,0.038138847798109055,0.16131393611431122,0.37335914373397827,0.3178597688674927,0.6747195720672607,-327.156494140625,1.0000000298023224
rectangle,60.0,60.0,0.18654708564281464,0.36199885606765747,0.007700584828853607,0.042016614228487015,0.409437358379364,0.40614262223243713,0.8106003403663635,341.93212890625,1.0000000149011612
rectangle,60.0,75.0,0.1274649202823639,0.41627025604248047,0.015073280781507492,0.04841700196266174,0.4078477621078491,0.4703270494937897,0.8823820948600769,323.2756042480469,0.999999962747097
rectangle,60.0,90.0,0.09775897115468979,0.4122175872325897,0.05463552474975586,0.12730376422405243,0.36271965503692627,0.4925045073032379,0.8816986083984375,316.3988342285156,0.9999999850988388
