tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,R_cross_12,R_cross_21,abs_rx,abs_ry,dphi_r_deg,rxx_re,rxx_im,ryy_re,ryy_im,rxy_abs,ryx_abs
rectangle,20.0,75.0,0.23055896162986755,0.45346662402153015,0.038027696311473846,0.08327101171016693,0.23270341753959656,0.2371988296508789,0.223919078707695,0.7206993699073792,0.855570912361145,297.135009765625,-0.5490794777870178,0.466818243265152,-0.7904766798019409,-0.32733502984046936,0.24135762453079224,0.24163711071014404
rectangle,20.0,90.0,0.2285710722208023,0.4586983919143677,0.03774261102080345,0.0816757008433342,0.23105469346046448,0.22854897379875183,0.22859317064285278,0.7554157376289368,0.8965970277786255,289.86285400390625,-0.5357944965362549,0.5325196385383606,-0.8105122447013855,-0.38334858417510986,0.00010027188545791432,6.456951086875051e-05
rectangle,25.0,0.0,0.2666170001029968,0.34093937277793884,0.04242269694805145,0.1318410485982895,0.26060253381729126,0.26642483472824097,0.2668091952800751,0.8427203893661499,0.7105877995491028,-277.12957763671875,-0.6390010714530945,-0.5494135618209839,-0.5265609622001648,0.47714629769325256,3.8615929952356964e-05,0.0003937013680115342
rectangle,25.0,15.0,0.26334813237190247,0.3509908616542816,0.042192693799734116,0.12669137120246887,0.25896957516670227,0.2751099467277527,0.25158631801605225,0.7974817156791687,0.6818268895149231,-286.1834411621094,-0.6422699093818665,-0.4727224111557007,-0.5411990880966187,0.41471853852272034,0.25296783447265625,0.252626895904541
rectangle,25.0,30.0,0.2554166615009308,0.3756110668182373,0.040613606572151184,0.11249532550573349,0.25647690892219543,0.2750473618507385,0.23578596115112305,0.6933737993240356,0.6361369490623474,-314.3809814453125,-0.640795886516571,-0.26485446095466614,-0.5848590731620789,0.25022006034851074,0.43393048644065857,0.4339613616466522
rectangle,25.0,45.0,0.24574482440948486,0.40736469626426697,0.03798669949173927,0.09623374789953232,0.25065678358078003,0.26763036847114563,0.2238592952489853,0.6179674863815308,0.6587268114089966,1.987626075744629,-0.6178593635559082,0.011560067534446716,-0.6577879190444946,0.035158246755599976,0.49504145979881287,0.49532631039619446
rectangle,25.0,60.0,0.23568841814994812,0.4377216696739197,0.035242654383182526,0.08256694674491882,0.2440228909254074,0.2539556920528412,0.21742115914821625,0.6442078351974487,0.7575504779815674,321.32525634765625,-0.581066906452179,0.27814561128616333,-0.7378504276275635,-0.17163759469985962,0.42296138405799866,0.42312827706336975
rectangle,25.0,75.0,0.22926926612854004,0.45816880464553833,0.03309720754623413,0.07356583327054977,0.2389959990978241,0.23966853320598602,0.21886998414993286,0.7218617796897888,0.8581227660179138,297.6648864746094,-0.5491407513618469,0.4685390293598175,-0.7964006662368774,-0.31956321001052856,0.2422788441181183,0.24231836199760437
rectangle,25.0,90.0,0.22704154253005981,0.46544817090034485,0.03222476691007614,0.07020655274391174,0.2373037040233612,0.2270696610212326,0.22701342403888702,0.7599629163742065,0.8985743522644043,290.433349609375,-0.5372769832611084,0.5374728441238403,-0.8173019886016846,-0.37343454360961914,5.89124538237229e-05,7.254516094690189e-05
rectangle,30.0,0.0,0.27561846375465393,0.2890092134475708,0.042059242725372314,0.16098660230636597,0.2743856906890869,0.27560219168663025,0.2756347358226776,0.8011637926101685,0.6981346011161804,-271.3718566894531,-0.5396137833595276,-0.5921827554702759,-0.5271380543708801,0.4577306807041168,0.000172693413333036,8.16218089312315e-05
rectangle,30.0,15.0,0.2716933488845825,0.3031530976295471,0.041615650057792664,0.1503773331642151,0.2747761905193329,0.28936702013015747,0.25401967763900757,0.7591036558151245,0.6666279435157776,-280.9346923828125,-0.5585708618164062,-0.5140398144721985,-0.5362699627876282,0.3959890604019165,0.2540816366672516,0.2539770007133484
rectangle,30.0,30.0,0.26270124316215515,0.34206581115722656,0.03942926228046417,0.12615713477134705,0.26907578110694885,0.29242315888404846,0.23297931253910065,0.6612329483032227,0.624393105506897,-310.9480285644531,-0.5900778770446777,-0.29839080572128296,-0.5779953002929688,0.2361951768398285,0.4373175799846649,0.43725478649139404
rectangle,30.0,45.0,0.2487957775592804,0.3900488018989563,0.03543107956647873,0.09809884428977966,0.26305651664733887,0.28132686018943787,0.21626469492912292,0.5949100255966187,0.6546805500984192,-356.7132568359375,-0.5948418974876404,-0.009002327919006348,-0.654096782207489,0.027640432119369507,0.4977168142795563,0.49743613600730896
rectangle,30.0,60.0,0.23525750637054443,0.4339645206928253,0.030800828710198402,0.0760471522808075,0.2547307312488556,0.26235896348953247,0.2081560492515564,0.63289874792099,0.7603706121444702,321.8738098144531,-0.5725524425506592,0.269711971282959,-0.7411724328994751,-0.16978484392166138,0.4241916239261627,0.4240064024925232
rectangle,30.0,75.0,0.22669008374214172,0.4630945920944214,0.027127128094434738,0.06173701584339142,0.24847818911075592,0.2420903742313385,0.21128980815410614,0.7211834788322449,0.8611732125282288,298.39306640625,-0.5485340356826782,0.46820512413978577,-0.8033031225204468,-0.31036004424095154,0.24267952144145966,0.2427990883588791
rectangle,30.0,90.0,0.22348369657993317,0.47360849380493164,0.025861423462629318,0.05690646544098854,0.24600127339363098,0.22343888878822327,0.22352850437164307,0.7635629773139954,0.9006420373916626,291.32843017578125,-0.5398991703987122,0.5399419069290161,-0.8248781561851501,-0.36156898736953735,0.00014763721264898777,6.553562707267702e-05
rectangle,35.0,0.0,0.2801632285118103,0.22879573702812195,0.04221097007393837,0.2026403397321701,0.2884005904197693,0.28025564551353455,0.28007084131240845,0.7402636408805847,0.6855127811431885,-264.1903076171875,-0.41093990206718445,-0.615726113319397,-0.5287368297576904,0.43630850315093994,5.721745765185915e-05,0.00017379845667164773
rectangle,35.0,15.0,0.2772158980369568,0.24847663938999176,0.04166775196790695,0.18638846278190613,0.28791898488998413,0.3031676411628723,0.25126412510871887,0.7041193246841431,0.654601514339447,-274.3312683105469,-0.4489229917526245,-0.5424501299858093,-0.5343812108039856,0.37807387113571167,0.2520904242992401,0.2520880401134491
rectangle,35.0,30.0,0.26719793677330017,0.30181607604026794,0.03906824439764023,0.14634911715984344,0.28463679552078247,0.3100411295890808,0.22435474395751953,0.6190643310546875,0.6113408207893372,-306.5050354003906,-0.5235751867294312,-0.33031752705574036,-0.5697836875915527,0.2215493619441986,0.43655943870544434,0.43642380833625793
rectangle,35.0,45.0,0.25051239132881165,0.3688734471797943,0.033371224999427795,0.102885901927948,0.2777281701564789,0.2972589433193207,0.20376582443714142,0.5651688575744629,0.6507092714309692,-354.9407958984375,-0.5642303228378296,-0.03255702555179596,-0.6504033803939819,0.019949138164520264,0.49805915355682373,0.4978660047054291
rectangle,35.0,60.0,0.23314452171325684,0.4285275638103485,0.02592959627509117,0.06891481578350067,0.2694131135940552,0.27150729298591614,0.19478173553943634,0.616855800151825,0.763708233833313,322.7861022949219,-0.5607295632362366,0.2570864260196686,-0.7453647255897522,-0.16637825965881348,0.4240463674068451,0.4239899516105652
