tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s
P850_h150_pad0.04_s1001,stage1,850.0,150.0,0.04,33.203125,1001,80,5,False,0.37866688494485584,0.37868772944467866,0.09717655857690446,0.015023102245754164,0.49088739026733724,0.4910225101888254,0.23428634792721154,0.2746911418839631,0.7714350316443153,-0.00013511992148818042,7.900264911691496,53.50839972763056,0.37866662790733335,0.395263671875,0.4650962367135881,1.1058829713792768,0.2558759736619825,1.1067204444045486,0.0006513265982043714,71.43788599967957
P850_h150_pad0.04_s7777,stage1,850.0,150.0,0.04,33.203125,7777,80,5,False,0.3760428905516053,0.3760405191030751,0.07607579570469215,0.03615582794442963,0.4882721427521969,0.4884061629359583,0.2447574146002561,0.2668364224637856,0.7701453475995651,-0.00013402018376140745,7.845038239820437,43.93074970064487,0.3760428030787948,0.45709228515625,0.5378483194484344,0.8372742529519002,0.28911808012339796,0.8382305916450807,0.0009606962957030241,69.72314691543579
P850_h150_pad0.04_s333,stage1,850.0,150.0,0.04,33.203125,333,80,5,False,0.374984170114393,0.37497403453270484,0.07762518361020779,0.035735638140869025,0.4883348562837817,0.48846948690190334,0.24441081068896495,0.2671197024091317,0.7678625224221134,-0.0001346306181216339,7.8227890091878205,43.65830455205072,0.3749839492872395,0.45721435546875,0.5379919563343867,0.8320441235745595,0.3729614640116303,0.8281846016123967,0.0010837374801849636,75.45277166366577
P850_h150_pad0.08_s7777,stage1,850.0,150.0,0.08,66.40625,7777,80,5,False,0.3622672647454261,0.36227854158302725,0.08119957250475743,0.02555609315350895,0.46903420724129363,0.46914877357587165,0.21612204598843743,0.3147291804356909,0.7723925803063098,-0.00011456633457801457,7.557932902986426,32.55291280874327,0.36226681999492594,0.4669189453125,0.6558641975308642,0.6278920018706019,0.28924061042487487,0.6295552948558575,0.0005496451201779907,65.60161209106445
P850_h150_pad0.08_s1001,stage1,850.0,150.0,0.08,66.40625,1001,80,5,False,0.3529727964836956,0.35297951305068287,0.09415016287071065,0.019955424605235174,0.46708510052662866,0.4671984525874588,0.2169719409567263,0.31582960645581487,0.7557070706231175,-0.00011335206083012972,7.363934568436137,38.519601587976716,0.3529720350094313,0.46246337890625,0.6496056241426612,0.6381890043132543,0.22097961795918022,0.6381890043132543,0.00044719391404572455,69.05173873901367
P650_h300_pad0.04_s7777,stage1,650.0,300.0,0.04,25.390625,7777,80,5,False,0.3516211336899452,0.35165166898908573,0.03213640816491193,0.0026284963193993886,0.38641657347339703,0.38649197367153076,0.20652930853629953,0.40697871779216965,0.910032573986621,-7.540019813373489e-05,7.336232799848553,24.68372116397044,0.35161998850206255,0.60003662109375,0.7060471128985923,0.16694615971052268,0.23566629453578172,0.27024855100539713,0.00042617988919306114,69.89141774177551
P650_h300_pad0.04_s333,stage1,650.0,300.0,0.04,25.390625,333,80,5,False,0.35056610777062497,0.3505865367175866,0.030807800588625596,0.002411389148562826,0.383805726454775,0.3838804967874703,0.211606004354536,0.40451349885799365,0.9134479048970033,-7.477033269531752e-05,7.314011781166024,24.827224461679833,0.35056559806410026,0.59613037109375,0.7014507325481184,0.1674922387636917,0.26656255433232107,0.2936131158862214,0.0003528450133135458,134.85343861579895
P650_h300_pad0.04_s1001,stage1,650.0,300.0,0.04,25.390625,1001,80,5,False,0.3502283890605091,0.35018192751214017,0.03028227797871691,0.002302001426495116,0.3827662069173522,0.38284065567325065,0.2134532647193267,0.40370607960742266,0.9148715878874655,-7.444875589845967e-05,7.305570736843244,24.367425007963448,0.3502277078384958,0.59503173828125,0.7001580005745476,0.17247214465268154,0.08944730625896069,0.17247214465268154,0.0004222220794844224,68.9569456577301
P850_h150_pad0.08_s333,stage1,850.0,150.0,0.08,66.40625,333,80,5,False,0.3455372118041327,0.34556963612900504,0.09196416555831877,0.019481927005158772,0.4570157286924826,0.45712367264495307,0.21007285396954428,0.3328034733855027,0.7561438577128982,-0.0001079439524704906,7.2093481213650135,38.80655559829486,0.34553548154617914,0.466064453125,0.6546639231824417,0.5454704189953404,0.31381663442511576,0.5698924199802705,0.0005713866007445692,74.91476321220398
P825_h150_pad0.04_s1001,stage1,825.0,150.0,0.04,32.2265625,1001,80,5,False,0.3455526777908368,0.3455547352842259,0.10955318403352661,0.020156854894337543,0.47526477421209,0.47540242383886033,0.2111446365384446,0.31345293962269505,0.727078365648071,-0.00013764962677031978,7.209037256734316,48.15476128552454,0.3455519841717657,0.52337646484375,0.6158431485205401,0.608779307218929,0.16519270485590254,0.6095450676565048,0.000616169430244862,69.51109313964844
