CQe,Cm,Cp,F,Qxx_im,Qxx_re,Qxy_im,Qxy_re,Qxz_im,Qxz_re,Qyy_im,Qyy_re,Qyz_im,Qyz_re,Qzz_im,Qzz_re,S_Qxz,S_px,Tx_im,Tx_re,beta,it,lr,mx_im,mx_re,my_im,my_re,mz_im,mz_re,px_im,px_re,py_im,py_re,pz_im,pz_re,t
,,,-1.2814069371078873,,,,,,,,,,,,,0.05553693400306301,1.388040621399817,,,15.848931924611136,48,0.013090169943749475,,,,,,,,,,,,,171.93269681930542
,,,-1.2814657206634181,,,,,,,,,,,,,0.05550488697158959,1.3886787662384732,,,16.7880401812256,49,0.012840153447039229,,,,,,,,,,,,,175.1807632446289
1.678176608094347e-14,1.9409255572359116e-14,4.202564404609046e-13,-1.2815312169377304,6.286375504552828e-40,3.8477540665073356e-40,2.0458825534630343e-39,2.0688363435506518e-41,2.509629215779521e-37,-2.6902978769526758e-37,-1.7262956565416294e-39,-1.6405951196403299e-40,5.3417526554531055e-40,-5.783234745870508e-40,1.0976580814169657e-39,-2.207168625453595e-40,0.05547395872302046,1.3892709965468157,1.2370392425354674e-40,-5.335260935663535e-38,17.78279410038923,50,0.012588190451025208,6.994960898960399e-26,1.0485088202000873e-25,5.322025685066426e-23,4.8804787313104577e-23,7.649736804186644e-27,-8.986411648280794e-26,1.1208048558092702e-30,9.637367504487817e-34,-3.921429710361199e-34,-2.9335118194308713e-34,-1.690809852584026e-33,1.6649449557655896e-33,178.48587822914124
,,,-1.2815761194049682,,,,,,,,,,,,,0.055444873865349846,1.3898749467127949,,,18.83649089489801,51,0.012334453638559055,,,,,,,,,,,,,181.73239040374756
,,,-1.2816419928646388,,,,,,,,,,,,,0.055421573498483014,1.390276102003872,,,19.952623149688797,52,0.012079116908177591,,,,,,,,,,,,,185.26131534576416
,,,-1.2816810544957464,,,,,,,,,,,,,0.055395895414088986,1.390811888345318,,,21.134890398366462,53,0.011822355254921476,,,,,,,,,,,,,188.69414353370667
,,,-1.2817281684491788,,,,,,,,,,,,,0.055375027310408775,1.3912049199202512,,,22.387211385683397,54,0.011564344650402309,,,,,,,,,,,,,192.09853601455688
,,,-1.2817693065905378,,,,,,,,,,,,,0.05535619279655786,1.3915637691645002,,,23.713737056616555,55,0.011305261922200516,,,,,,,,,,,,,195.67999148368835
,,,-1.2818101404701774,,,,,,,,,,,,,0.05534039477784727,1.3918473450828523,,,25.1188643150958,56,0.011045284632676535,,,,,,,,,,,,,199.90489602088928
,,,-1.2818276413945027,,,,,,,,,,,,,0.05532871896825372,1.3920923346881118,,,26.607250597988088,57,0.010784590957278451,,,,,,,,,,,,,203.5039258003235
,,,-1.2818577939200095,,,,,,,,,,,,,0.05531691233345827,1.3923054920819131,,,28.183829312644537,58,0.010523359562429438,,,,,,,,,,,,,206.6270112991333
,,,-1.281882842798473,,,,,,,,,,,,,0.055303888629185394,1.3925636048638217,,,29.8538261891796,59,0.010261769483078732,,,,,,,,,,,,,209.76215052604675
