P,h,pad,seed,J_hard,J_soft,A_hard_min,A_hard,fill,s_flip,wall_s,tag
850.0,160.0,0.08,1001,0.20404775682254203,0.20404522807063394,0.1955931504519295,"[0.2245157623669125, 0.1961194301122975, 0.1955931504519295]",0.637517146776406,0.22002982828744438,141.78943300247192,P850_h160_pad0.080_s1001
775.0,140.0,0.12,7777,0.20243234581634975,0.2024337500807562,0.17064172493391938,"[0.17064172493391938, 0.22190336310527736, 0.2334480151649876]",0.7631195335276968,0.20433292522435265,128.2561821937561,P775_h140_pad0.120_s7777
850.0,160.0,0.12,1001,0.2000731111322481,0.2000686535675403,0.1846824759918939,"[0.22319738277184176, 0.19815017568101112, 0.1846824759918939]",0.708975426905456,0.15233050308673077,142.25783133506775,P850_h160_pad0.120_s1001
775.0,120.0,0.04,1001,0.19228579956260736,0.19228217840086134,0.15426080534978803,"[0.15426080534978803, 0.20017732431563906, 0.26971474544246254]",0.6556305659293307,0.16548491102903903,139.07685112953186,P775_h120_pad0.040_s1001
925.0,120.0,0.12,7777,0.19085452831219357,0.19085371570800608,0.1692505786960793,"[0.2351849125712847, 0.1692505786960793, 0.18499484759136664]",0.7567680133277801,0.21501174277744908,134.74128246307373,P925_h120_pad0.120_s7777
775.0,120.0,0.08,7777,0.18735965603784271,0.1873442971108707,0.15564203339010352,"[0.15564203339010352, 0.20128227492942807, 0.22552518577812541]",0.7275377229080933,0.17638045139476502,136.5895938873291,P775_h120_pad0.080_s7777
850.0,140.0,0.04,1001,0.18728850808649336,0.18728553760919595,0.17326549079213627,"[0.20534149037310634, 0.1872761861717427, 0.17326549079213627]",0.5749784544671072,0.23013100571230594,146.93875741958618,P850_h140_pad0.040_s1001
700.0,200.0,0.08,1001,0.18720399830073675,0.1871964660133125,0.17735568838864557,"[0.17735568838864557, 0.21190783248539025, 0.17809058151693724]",0.6129972565157751,0.16386929807974052,135.58035469055176,P700_h200_pad0.080_s1001
700.0,200.0,0.12,1001,0.18693958386553886,0.1869373036502314,0.17608355812491838,"[0.17608355812491838, 0.21010879913051983, 0.17979489796831083]",0.6880466472303207,0.1650445680508731,137.06582951545715,P700_h200_pad0.120_s1001
700.0,200.0,0.04,1001,0.1869310007316153,0.18692962558541137,0.17622845653795016,"[0.17804729614310222, 0.21273714094478502, 0.17622845653795016]",0.5311692042516518,0.19733212498229233,140.57947778701782,P700_h200_pad0.040_s1001
1075.0,200.0,0.08,7777,0.18530984003633105,0.18530222954271325,0.15691034180096386,"[0.15691034180096386, 0.21905704077143096, 0.19580354187936277]",0.46141975308641975,0.7564905574971253,149.17530798912048,P1075_h200_pad0.080_s7777
850.0,140.0,0.08,1001,0.18470594445339233,0.1846972201532491,0.16637394748053436,"[0.20494263115407985, 0.1887707433995175, 0.16637394748053436]",0.6394890260631001,0.13403311026785938,144.78623962402344,P850_h140_pad0.080_s1001
1075.0,200.0,0.12,1001,0.18183459740845895,0.18183063182513745,0.16144365749399703,"[0.16144365749399703, 0.19647143996690875, 0.19390002759966052]",0.45897542690545606,0.56917171647159,140.10439205169678,P1075_h200_pad0.120_s1001
775.0,120.0,0.12,7777,0.1782952198334581,0.1782945886213609,0.15814440424134224,"[0.15814440424134224, 0.20302589187266296, 0.18163108805424788]",0.7338608912952936,0.1964497607864498,137.51512145996094,P775_h120_pad0.120_s7777
850.0,140.0,0.12,7777,0.17743084338490245,0.17742843441153028,0.1528284794832948,"[0.20018367739856835, 0.189450280871298, 0.1528284794832948]",0.6307788421491045,0.3606604118156579,142.24924302101135,P850_h140_pad0.120_s7777
700.0,160.0,0.04,1001,0.17513546397229882,0.17513110228226794,0.16515888548971147,"[0.16678883792110255, 0.19877007403465963, 0.16515888548971147]",0.5531456478023556,0.19337239969795111,144.15263772010803,P700_h160_pad0.040_s1001
700.0,160.0,0.08,1001,0.1744038759254151,0.17439954076681466,0.16501705650023746,"[0.16501705650023746, 0.19665822868259875, 0.1662976540747504]",0.6254286694101509,0.1880603347688324,144.85522174835205,P700_h160_pad0.080_s1001
1075.0,160.0,0.12,7777,0.173821286712505,0.17381725390584243,0.16026325607953884,"[0.16026325607953884, 0.17884561588229075, 0.18504767999628002]",0.4559558517284465,0.6422016253553421,139.27718019485474,P1075_h160_pad0.120_s7777
700.0,160.0,0.12,1001,0.17344646461728866,0.17344551206427442,0.1633945001699466,"[0.1633945001699466, 0.19455367771944876, 0.16675505886192576]",0.6977301124531445,0.17702713401674433,139.79338550567627,P700_h160_pad0.120_s1001
1075.0,160.0,0.04,7777,0.17290924621416548,0.17289890604180672,0.1449652739238798,"[0.1449652739238798, 0.2010475339751483, 0.18671208928073701]",0.5012209135305946,0.828805101665514,149.6509656906128,P1075_h160_pad0.040_s7777
1075.0,160.0,0.08,1001,0.1706360671255658,0.17063268437634352,0.1498067544378815,"[0.1498067544378815, 0.19005739471749106, 0.1791143031300686]",0.48705418381344306,0.5169201850699908,145.5203366279602,P1075_h160_pad0.080_s1001
