label,port,pol,term,re,im,abs,f_ED,f_MD,f_EQ,f_MQ
mut22_651,t,x,ladder,-0.47265182856322896,-0.16773791742050115,0.5015334086426655,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,x,residual,0.4593835859730996,0.17360398676716748,0.4910922757313121,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,x,full,-0.013268242590129375,0.005866069346666336,0.01450713724379905,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,ED,-0.054987181204887436,-0.18485447792656798,0.19285945169050733,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,MD,-0.01402646361785183,-0.04646352085661123,0.04853452845156392,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,EQ,-0.6569939506822678,0.48143672240890606,0.814507439448483,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,ladder,-0.6988728193895897,0.4341279627032949,0.8227334353740994,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,residual,0.109475865806826,0.16415407646220193,0.19731073466315158,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,r,x,full,-0.5893969535827637,0.5982820391654968,0.8398393699277663,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,y,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,ED,0.19552376360628487,-0.33225109716954715,0.3855130785137311,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,MD,0.3411001366359958,0.23480718880629944,0.4141059274246291,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,EQ,-0.34782235859723537,-0.2932290621853644,0.4549326060530857,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,ladder,-0.4532906862907457,0.3530486934032617,0.5745570695689729,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,residual,0.3017195465974855,-0.3430279735621391,0.4568400983332569,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,t,y,full,-0.1515711396932602,0.010020719841122627,0.15190202504920092,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,ED,0.23131524711466767,-0.6434500562105019,0.6837651046850942,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,MD,-0.4610926115219704,-0.20374970381758692,0.5041034994977769,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,EQ,0.4823413512836032,0.27211141214412427,0.5538030333766345,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,ladder,0.279698762991718,-0.3910791088063965,0.4808058520483112,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,residual,0.1280078851196254,-0.27964111080572507,0.3075470199911861,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
mut22_651,r,y,full,0.4077066481113434,-0.6707202196121216,0.7849142143640407,0.48634960677702765,0.2635942686477074,0.19169481436752892,0.058361310207736
