tag,theta,phi,F,Faf,T,co,Rtot,A,Rcross
B_P271_H215_s23_g96_o9,50.0,45.0,0.10386316478252411,0.15727393329143524,0.23207204043865204,0.17560476064682007,0.3334537744522095,0.4344741702079773,0.15784896910190582
B_P271_H215_s23_g96_o9,50.0,90.0,0.14516693353652954,0.14516693353652954,0.2305399626493454,0.26620063185691833,0.4113675653934479,0.3580924868583679,0.14516693353652954
A_P252_H185_s11_wf,0.0,0.0,0.34236347675323486,0.342363566160202,0.028851579874753952,0.3130083680152893,0.6553718447685242,0.3157765865325928,0.34236353635787964
A_P252_H185_s11_wf,0.0,45.0,0.34236347675323486,0.342363566160202,0.028851579874753952,0.3130083680152893,0.6553718447685242,0.3157765865325928,0.34236353635787964
A_P252_H185_s11_wf,0.0,90.0,0.34236347675323486,0.342363566160202,0.028851579874753952,0.3130083680152893,0.6553718447685242,0.3157765865325928,0.34236353635787964
A_P252_H185_s11_wf,20.0,0.0,0.4308641254901886,0.4308641254901886,0.017291219905018806,0.10971948504447937,0.5405836701393127,0.4421251118183136,0.4308641254901886
A_P252_H185_s11_wf,20.0,45.0,0.3647315800189972,0.3655538558959961,0.012249324470758438,0.22462612390518188,0.5916943550109863,0.39605632424354553,0.36706817150115967
A_P252_H185_s11_wf,20.0,90.0,0.27201923727989197,0.27201923727989197,0.01828940398991108,0.37071555852890015,0.6427348852157593,0.3389756977558136,0.27201926708221436
A_P252_H185_s11_wf,40.0,0.0,0.3560715317726135,0.3560715913772583,0.14067715406417847,0.02211572602391243,0.378187358379364,0.4811354875564575,0.3560715913772583
A_P252_H185_s11_wf,40.0,45.0,0.28703269362449646,0.3110097348690033,0.10743959248065948,0.07149410247802734,0.4116973876953125,0.4808630347251892,0.34020331501960754
A_P252_H185_s11_wf,40.0,90.0,0.07049886137247086,0.07049886137247086,0.18274937570095062,0.4172460734844208,0.4877449572086334,0.32950568199157715,0.07049890607595444
A_P252_H185_s11_wf,50.0,0.0,0.34396642446517944,0.3439665138721466,0.16857166588306427,0.05915689468383789,0.4031234681606293,0.42830485105514526,0.343966543674469
A_P252_H185_s11_wf,50.0,45.0,0.191336989402771,0.260204941034317,0.181309312582016,0.030989209190011024,0.3522931933403015,0.4663974940776825,0.32130396366119385
A_P252_H185_s11_wf,50.0,90.0,0.10410355031490326,0.10410355031490326,0.35771360993385315,0.273221492767334,0.3773250877857208,0.2649613320827484,0.10410355031490326
A_P252_H170_s11_wf,0.0,0.0,0.3040938973426819,0.30409395694732666,0.03630928695201874,0.409010648727417,0.7131046056747437,0.2505860924720764,0.3040939271450043
A_P252_H170_s11_wf,0.0,45.0,0.3040938973426819,0.30409395694732666,0.03630928695201874,0.409010648727417,0.7131046056747437,0.2505860924720764,0.3040939271450043
A_P252_H170_s11_wf,0.0,90.0,0.3040938973426819,0.30409395694732666,0.03630928695201874,0.409010648727417,0.7131046056747437,0.2505860924720764,0.3040939271450043
A_P252_H170_s11_wf,20.0,0.0,0.3368217945098877,0.3368217945098877,0.07624196261167526,0.19596779346466064,0.5327897071838379,0.39096832275390625,0.33682185411453247
A_P252_H170_s11_wf,20.0,45.0,0.30872467160224915,0.30883264541625977,0.042020075023174286,0.3072664439678192,0.6178513169288635,0.3401286005973816,0.31058481335639954
A_P252_H170_s11_wf,20.0,90.0,0.25607234239578247,0.25607234239578247,0.027536343783140182,0.43911921977996826,0.6951916217803955,0.2772720456123352,0.25607240200042725
A_P252_H170_s11_wf,40.0,0.0,0.24387159943580627,0.2438715696334839,0.26138705015182495,0.026655811816453934,0.2705274224281311,0.46808552742004395,0.24387159943580627
A_P252_H170_s11_wf,40.0,45.0,0.24707527458667755,0.2518903911113739,0.14695389568805695,0.12987954914569855,0.4102041721343994,0.44284194707870483,0.2803246080875397
A_P252_H170_s11_wf,40.0,90.0,0.09128234535455704,0.09128234535455704,0.14772844314575195,0.47224006056785583,0.563522458076477,0.288749098777771,0.09128236025571823
A_P252_H170_s11_wf,50.0,0.0,0.22208955883979797,0.22208961844444275,0.29650652408599854,0.056455716490745544,0.27854543924331665,0.4249480366706848,0.22208964824676514
A_P252_H170_s11_wf,50.0,45.0,0.17089085280895233,0.1894283890724182,0.22151540219783783,0.07051023840904236,0.33082714676856995,0.4476574659347534,0.26031693816185
A_P252_H170_s11_wf,50.0,90.0,0.09740301966667175,0.09740304201841354,0.3399767279624939,0.3300941586494446,0.4274972081184387,0.23252606391906738,0.09740304946899414
B_P239_H170_s11_wf,0.0,0.0,0.3081868588924408,0.3081868588924408,0.3758900761604309,0.16476359963417053,0.4729505479335785,0.1511593461036682,0.3081868588924408
B_P239_H170_s11_wf,0.0,45.0,0.3081868588924408,0.3081868588924408,0.3758900761604309,0.16476359963417053,0.4729505479335785,0.1511593461036682,0.3081868588924408
B_P239_H170_s11_wf,0.0,90.0,0.3081868588924408,0.3081868588924408,0.3758900761604309,0.16476359963417053,0.4729505479335785,0.1511593461036682,0.3081868588924408
B_P239_H170_s11_wf,20.0,0.0,0.32631194591522217,0.32631194591522217,0.3732149600982666,0.15174320340156555,0.4780551791191101,0.1487298607826233,0.3263119161128998
B_P239_H170_s11_wf,20.0,45.0,0.3141813278198242,0.3144618272781372,0.385181188583374,0.1395563781261444,0.4542486071586609,0.1605702042579651,0.3146921992301941
B_P239_H170_s11_wf,20.0,90.0,0.29848405718803406,0.29848405718803406,0.406078577041626,0.12201157212257385,0.4204955995082855,0.1734257936477661,0.29848405718803406
B_P239_H170_s11_wf,40.0,0.0,0.38823992013931274,0.38823992013931274,0.3593081831932068,0.11243422329425812,0.5006741285324097,0.14001768827438354,0.38823992013931274
B_P239_H170_s11_wf,40.0,45.0,0.2886890470981598,0.29449379444122314,0.44020766019821167,0.07880045473575592,0.3780129551887512,0.1817793846130371,0.2992124855518341
