run,theta,phi,alpha,F,T,co,A
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,0.0,0.0,0.5562723278999329,0.055168904364109,0.0057512237690389,0.3828074634075165
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,45.0,0.0,0.5562723278999329,0.055168904364109,0.0057512237690389,0.3828074634075165
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,90.0,0.0,0.5562723278999329,0.055168904364109,0.0057512237690389,0.3828074634075165
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,10.0,0.0,0.0,0.4857263565063476,0.050561286509037,0.0062192985787987,0.4574930965900421
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,10.0,45.0,0.0,0.5249285101890564,0.044644821435213,0.00745260855183,0.4227748513221741
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,10.0,90.0,0.0,0.5598228573799133,0.0435601994395256,0.0080337384715676,0.3885831236839294
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,20.0,0.0,0.0,0.2301484644412994,0.1469766646623611,0.0097700944170355,0.6131047606468201
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,20.0,45.0,0.0,0.3897473812103271,0.0531481653451919,0.0178754925727844,0.5345363020896912
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,20.0,90.0,0.0,0.5480076670646667,0.0207057520747184,0.0344764180481433,0.396810233592987
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,0.0,0.0,0.211366668343544,0.1613269746303558,0.0619999319314956,0.5653064250946045
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,45.0,0.0,0.2249826490879058,0.112887367606163,0.0108668189495801,0.6247746348381042
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,90.0,0.0,0.4888352751731872,0.0130662899464368,0.1076530814170837,0.390445351600647
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,0.0,30.0,0.5464056134223938,0.0537717714905738,0.0057288082316517,0.394079178571701
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,0.0,60.0,0.5463956594467163,0.0536971613764762,0.005712968762964,0.3941787481307983
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,0.0,0.0,90.0,0.5561670064926147,0.0551701597869396,0.0057573891244828,0.382905513048172
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,0.0,30.0,0.1724671423435211,0.1824617385864257,0.0443432256579399,0.5558884739875793
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,0.0,60.0,0.3087254464626312,0.0940445512533187,0.0373186618089675,0.5523161888122559
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,30.0,0.0,90.0,0.4888340830802917,0.0130839180201292,0.1076609194278717,0.390421062707901
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,45.0,0.0,30.0,0.1611836701631546,0.1106257364153862,0.1668138355016708,0.537024736404419
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,45.0,0.0,60.0,0.1835296601057052,0.1018945276737213,0.0577011108398437,0.6523749828338623
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,45.0,0.0,90.0,0.3723142743110657,0.0305634420365095,0.2368611097335815,0.3602611124515533
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,50.0,0.0,30.0,0.1349083334207534,0.0842166170477867,0.2382732629776001,0.5270395278930664
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,50.0,0.0,60.0,0.1423458606004715,0.0974918827414512,0.0768291726708412,0.6725585460662842
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,50.0,0.0,90.0,0.3373117446899414,0.0344682186841964,0.2819985151290893,0.3462215065956116
D2_P278_H230_cont30_D2_P278_H230_warm~-home-ue54,0.0,0.0,0.0,0.4636593461036682,0.0952004939317703,0.0165158249437809,0.4246242642402649
D2_P278_H230_cont30_D2_P278_H230_warm~-home-ue54,0.0,45.0,0.0,0.4636593461036682,0.0952004939317703,0.0165158249437809,0.4246242642402649
