tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill
B_P244_H200_s11_g80_o7,rtfree,coarse,final,244.0,200.0,0.3859410881996155,0.18534010648727417,0.12560325860977173,0.5115443468093872,0.3031155467033386,0.3859410881996155,0.7675440311431885,0.6587600708007812,-239.01051330566406,59.01051330566406,0.00017324824875686318,1,0.275
B_P244_H230_s11_g80_o7,rtfree,coarse,final,244.0,230.0,0.16783949732780457,0.35043299198150635,0.07513027638196945,0.2429698258638382,0.40659719705581665,0.16783952713012695,0.138433575630188,0.6832098960876465,-168.5876922607422,11.412307739257812,0.0001417787279933691,1,0.3875
B_P244_H260_s11_g80_o7,rtfree,coarse,final,244.0,260.0,0.1914980709552765,0.35772258043289185,0.08227374404668808,0.27377188205718994,0.3685055375099182,0.19149808585643768,0.23949885368347168,0.7001314163208008,-229.35403442382812,49.354034423828125,0.00021818811364937574,1,0.356875
B_P262_H110_s11_g80_o7,rtfree,coarse,final,262.0,110.0,0.030822301283478737,0.06554524600505829,0.6379497051239014,0.6687720417976379,0.2656826972961426,0.030822303146123886,0.8896837830543518,0.7389227747917175,-337.44586181640625,157.44586181640625,5.520973354578018e-05,1,0.461875
B_P262_H140_s11_g80_o7,rtfree,coarse,final,262.0,140.0,0.05903814360499382,0.146565780043602,0.6084171533584595,0.6674553751945496,0.18597884476184845,0.05903814733028412,0.7318254113197327,0.8940594792366028,-32.896827697753906,147.1031723022461,5.624831828754395e-05,1,0.41375
B_P262_H170_s11_g80_o7,rtfree,coarse,final,262.0,170.0,0.17658784985542297,0.07389834523200989,0.41382932662963867,0.5904172658920288,0.3356843888759613,0.17658782005310059,0.735710859298706,0.7997274398803711,-66.22039794921875,113.77960205078125,8.862769755069166e-05,1,0.365
B_P262_H200_s11_g80_o7,rtfree,coarse,final,262.0,200.0,0.24744465947151184,0.15344175696372986,0.07814677059650421,0.325591504573822,0.5209667682647705,0.24744471907615662,0.5767356753349304,0.5644101500511169,121.33839416503906,58.66160583496094,0.0004470803833100945,1,0.336875
B_P262_H230_s11_g80_o7,rtfree,coarse,final,262.0,230.0,0.17701636254787445,0.32139724493026733,0.09560883790254593,0.27262523770332336,0.4059775471687317,0.17701637744903564,0.7299373149871826,0.1115436777472496,180.99832153320312,0.998321533203125,0.00020983659487683326,1,0.335625
B_P262_H260_s11_g80_o7,rtfree,coarse,final,262.0,260.0,6.296739593381062e-05,0.6751443147659302,0.0861053466796875,0.0861683040857315,0.2386873960494995,6.296780338743702e-05,0.29290804266929626,0.29417935013771057,-3.0881197452545166,176.91188025474548,6.184022640809417e-05,1,0.4975
A_P235_H155_s11_g96_o9,rtfree,refinement,checkpoint@50,235.0,155.0,0.32099905610084534,0.2591242790222168,0.2399037927389145,0.5609028339385986,0.17997288703918457,0.32099905610084534,0.9083573818206787,0.5446949005126953,-260.5664978027344,80.56649780273438,0.0002448774757795036,1,0.2860243055555556
A_P235_H170_s11_g96_o9,rtfree,refinement,final,235.0,170.0,0.3461957573890686,0.23215091228485107,0.22244982421398163,0.5686455965042114,0.1992034912109375,0.3461957573890686,0.8916711807250977,0.584990382194519,-256.276611328125,76.276611328125,0.00014095216465648264,1,0.2825520833333333
A_P235_H185_s11_g96_o9,rtfree,refinement,final,235.0,185.0,0.35951095819473267,0.2180667519569397,0.17275741696357727,0.5322684049606323,0.24966484308242798,0.3595108985900879,0.8246280550956726,0.6201010942459106,-248.5792236328125,68.5792236328125,5.2097675506956875e-05,1,0.2834201388888889
A_P244_H155_s11_g96_o9,rtfree,refinement,checkpoint@50,244.0,155.0,0.3530900180339813,0.2328881025314331,0.22634774446487427,0.5794379115104675,0.18767398595809937,0.3530900478363037,0.9076544046401978,0.5788257122039795,-256.0401306152344,76.04013061523438,0.00040335359517484903,1,0.2782118055555556
A_P244_H170_s11_g96_o9,rtfree,refinement,checkpoint@50,244.0,170.0,0.38469791412353516,0.1882830113172531,0.2123585045337677,0.59705650806427,0.21466048061847687,0.3846980333328247,0.8885979056358337,0.6360084414482117,-252.245361328125,72.245361328125,0.000401739205699414,1,0.2769097222222222
A_P244_H185_s11_g96_o9,rtfree,refinement,final,244.0,185.0,0.40517640113830566,0.1806611567735672,0.14470304548740387,0.5498794913291931,0.2694593667984009,0.40517646074295044,0.8172033429145813,0.657219648361206,-240.9889373779297,60.98893737792969,0.00023050203162711114,1,0.2760416666666667
A_P253_H155_s11_g96_o9,rtfree,refinement,final,253.0,155.0,0.3847059905529022,0.20937113463878632,0.210200697183609,0.594906747341156,0.19572211802005768,0.3847059905529022,0.90367591381073,0.6108871102333069,-251.5723114013672,71.57231140136719,0.0005043259589001536,1,0.2708333333333333
A_P253_H170_s11_g96_o9,rtfree,refinement,final,253.0,170.0,0.4208381474018097,0.17497806251049042,0.1809072196483612,0.6017454266548157,0.2232765108346939,0.4208381474018097,0.8829665184020996,0.6510460376739502,-245.33078002929688,65.33078002929688,3.222872328478843e-05,1,0.2682291666666667
A_P253_H185_s11_g96_o9,rtfree,refinement,checkpoint@50,253.0,185.0,0.4494883716106415,0.11407162994146347,0.14831387996673584,0.5978024005889893,0.2881259620189667,0.44948840141296387,0.8158226013183594,0.7280372381210327,-239.5310516357422,59.53105163574219,9.982738993130624e-05,1,0.2760416666666667
A_P253_H200_s11_g96_o9,rtfree,refinement,final,253.0,200.0,0.43751993775367737,0.14598898589611053,0.09659452736377716,0.5341144800186157,0.31989651918411255,0.43751993775367737,0.7700233459472656,0.689414918422699,-230.04345703125,50.04345703125,0.0003005276375915855,1,0.2690972222222222
