Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
1000,1356.0,-0.242446,0.498612,0.880374,0.057347,0.062279,0.033595,0.000651,0.028002,0.062248,0.526961,1
1000,1358.0,-0.253003,0.501347,0.877268,0.059250,0.063482,0.033652,0.000668,0.029130,0.063450,0.546000,1
1000,1360.0,-0.263572,0.504089,0.874144,0.061171,0.064685,0.033708,0.000686,0.030257,0.064651,0.564875,1
1250,1240.0,0.367437,0.347260,0.878469,0.017468,0.104063,0.029042,0.001244,0.073744,0.104030,1.822155,1
1250,1242.0,0.357686,0.349666,0.875678,0.017096,0.107225,0.029213,0.001265,0.076714,0.107192,1.885533,1
1250,1244.0,0.347925,0.352075,0.872462,0.016922,0.110616,0.029381,0.001287,0.079913,0.110581,1.953874,1
1250,1246.0,0.338150,0.354490,0.868766,0.016972,0.114261,0.029545,0.001311,0.083369,0.114225,2.027736,1
1250,1248.0,0.328362,0.356910,0.864523,0.017279,0.118198,0.029705,0.001338,0.087118,0.118160,2.107935,1
1250,1250.0,0.318562,0.359334,0.859664,0.017877,0.122459,0.029860,0.001366,0.091194,0.122420,2.195189,1
1250,1252.0,0.308750,0.361764,0.854100,0.018808,0.127092,0.030009,0.001397,0.095646,0.127052,2.290537,1
1250,1254.0,0.298924,0.364200,0.847729,0.020120,0.132151,0.030152,0.001431,0.100526,0.132109,2.395132,1
1250,1256.0,0.289087,0.366640,0.840432,0.021870,0.137698,0.030287,0.001468,0.105899,0.137654,2.510344,1
1250,1258.0,0.279236,0.369085,0.832066,0.024124,0.143810,0.030414,0.001509,0.111841,0.143764,2.637839,1
1250,1260.0,0.269373,0.371534,0.822457,0.026964,0.150579,0.030532,0.001554,0.118445,0.150530,2.779586,1
1250,1262.0,0.259498,0.373990,0.811398,0.030488,0.158113,0.030637,0.001604,0.125822,0.158063,2.937967,1
1250,1264.0,0.249609,0.376451,0.798651,0.034810,0.166539,0.030728,0.001660,0.134097,0.166485,3.115649,1
1250,1266.0,0.239708,0.378915,0.783876,0.040092,0.176033,0.030803,0.001723,0.143450,0.175976,3.316533,1
1250,1268.0,0.229795,0.381387,0.766727,0.046502,0.186771,0.030858,0.001794,0.154059,0.186711,3.544326,1
1250,1270.0,0.219867,0.383863,0.746719,0.054281,0.199000,0.030889,0.001874,0.166174,0.198937,3.804382,1
1250,1272.0,0.209929,0.386344,0.723277,0.063719,0.213004,0.030889,0.001964,0.180083,0.212936,4.102787,1
1250,1274.0,0.199977,0.388830,0.695701,0.075180,0.229119,0.030851,0.002067,0.196128,0.229046,4.446739,1
1250,1276.0,0.190013,0.391321,0.663152,0.089117,0.247730,0.030766,0.002184,0.214702,0.247652,4.844464,1
1250,1278.0,0.180035,0.393819,0.624670,0.106078,0.269252,0.030620,0.002317,0.236230,0.269167,5.304704,1
1250,1280.0,0.170046,0.396322,0.579236,0.126697,0.294068,0.030399,0.002466,0.261111,0.293975,5.835519,1
