lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1300,1.9953e+05,1.1015e-16,0.263331,0.422818,0.313851,300.2,5.2541e+04,1,1
1300,2.5119e+05,1.3867e-16,0.263331,0.422818,0.313851,300.2,6.6146e+04,1,1
1300,3.1623e+05,1.7457e-16,0.263331,0.422818,0.313851,300.3,8.3273e+04,1,1
1300,3.9811e+05,2.1977e-16,0.263332,0.422817,0.313851,300.4,1.0483e+05,1,1
1300,5.0119e+05,2.7668e-16,0.263332,0.422817,0.313851,300.5,1.3198e+05,1,1
1300,6.3096e+05,3.4832e-16,0.263333,0.422816,0.313851,300.6,1.6615e+05,1,1
1300,7.9433e+05,4.3851e-16,0.263334,0.422815,0.313851,300.8,2.0917e+05,1,1
1300,1.0000e+06,5.5205e-16,0.263335,0.422814,0.313851,300.9,2.6334e+05,1,1
1300,1.2589e+06,6.9499e-16,0.263337,0.422812,0.313851,301.2,3.3152e+05,1,1
1300,1.5849e+06,8.7494e-16,0.263338,0.422811,0.313851,301.5,4.1736e+05,1,1
1300,1.9953e+06,1.1015e-15,0.263341,0.422808,0.313851,301.9,5.2543e+05,1,1
1300,2.5119e+06,1.3867e-15,0.263343,0.422806,0.313851,302.4,6.6149e+05,1,1
1300,3.1623e+06,1.7457e-15,0.263347,0.422802,0.313851,303.0,8.3278e+05,1,1
1300,3.9811e+06,2.1977e-15,0.263351,0.422798,0.313851,303.8,1.0484e+06,1,1
1300,5.0119e+06,2.7668e-15,0.263357,0.422792,0.313851,304.7,1.3199e+06,1,1
1300,6.3096e+06,3.4832e-15,0.263364,0.422785,0.313851,306.0,1.6617e+06,1,1
1300,7.9433e+06,4.3851e-15,0.263373,0.422776,0.313851,307.5,2.0920e+06,1,1
1300,1.0000e+07,5.5205e-15,0.263384,0.422765,0.313851,309.5,2.6338e+06,1,1
1300,1.2589e+07,6.9499e-15,0.263399,0.422750,0.313851,311.9,3.3160e+06,1,1
1300,1.5849e+07,8.7494e-15,0.263417,0.422732,0.313851,315.0,4.1749e+06,1,1
1300,1.9953e+07,1.1015e-14,0.263440,0.422709,0.313851,318.8,5.2563e+06,1,1
1300,2.5119e+07,1.3867e-14,0.263469,0.422680,0.313851,323.7,6.6180e+06,1,1
1300,3.1623e+07,1.7457e-14,0.263507,0.422642,0.313851,329.8,8.3328e+06,1,1
1300,3.9811e+07,2.1977e-14,0.263554,0.422595,0.313851,337.4,1.0492e+07,1,1
1300,5.0119e+07,2.7668e-14,0.263615,0.422534,0.313851,346.9,1.3212e+07,1,1
1300,6.3096e+07,3.4832e-14,0.263694,0.422455,0.313851,358.9,1.6638e+07,1,1
1300,7.9433e+07,4.3851e-14,0.263795,0.422354,0.313851,373.8,2.0954e+07,1,1
1300,1.0000e+08,5.5205e-14,0.263927,0.422222,0.313852,392.4,2.6393e+07,1,1
1300,1.2589e+08,6.9499e-14,0.264098,0.422050,0.313852,415.5,3.3248e+07,1,1
1300,1.5849e+08,8.7494e-14,0.264324,0.421825,0.313852,444.2,4.1892e+07,1,1
1300,1.9953e+08,1.1015e-13,0.264621,0.421527,0.313852,479.7,5.2799e+07,1,1
1300,2.5119e+08,1.3867e-13,0.265017,0.421130,0.313853,523.5,6.6569e+07,1,1
1300,3.1623e+08,1.7457e-13,0.265545,0.420601,0.313854,577.1,8.3973e+07,1,1
1300,3.9811e+08,2.1977e-13,0.266256,0.419890,0.313855,642.7,1.0600e+08,1,1
1300,5.0119e+08,2.7668e-13,0.267214,0.418930,0.313856,722.3,1.3392e+08,1,1
1300,6.3096e+08,3.4832e-13,0.268511,0.417630,0.313859,818.7,1.6942e+08,1,1
1300,7.9433e+08,4.3851e-13,0.270267,0.415869,0.313863,934.6,2.1468e+08,1,1
1300,1.0000e+09,5.5205e-13,0.272647,0.413483,0.313871,1073.4,2.7265e+08,1,1
1300,1.2589e+09,6.9499e-13,0.275865,0.410252,0.313883,1238.9,3.4729e+08,1,1
1300,1.5849e+09,8.7494e-13,0.280206,0.405890,0.313904,1435.8,4.4410e+08,1,1
1300,1.9953e+09,1.1015e-12,0.286035,0.400027,0.313939,1669.6,5.7071e+08,1,1
1300,2.5119e+09,1.3867e-12,0.293818,0.392187,0.313996,1947.0,7.3804e+08,1,1
1300,3.1623e+09,1.7457e-12,0.304135,0.381781,0.314084,2276.5,9.6176e+08,1,1
1300,3.9811e+09,2.1977e-12,0.317689,0.368099,0.314212,2668.2,1.2647e+09,1,1
1300,5.0119e+09,2.7668e-12,0.335286,0.350343,0.314371,3135.0,1.6804e+09,1,1
1300,6.3096e+09,3.4832e-12,0.357770,0.327718,0.314511,3692.1,2.2574e+09,1,1
1300,7.9433e+09,4.3851e-12,0.385865,0.299645,0.314490,4357.1,3.0650e+09,1,1
1300,1.0000e+10,5.5205e-12,0.419864,0.266130,0.314005,5149.3,4.1986e+09,1,1
1300,1.2589e+10,6.9499e-12,0.459166,0.228305,0.312529,6086.9,5.7806e+09,0,1
1300,1.5849e+10,8.7494e-12,0.501787,0.188904,0.309309,7183.2,7.9528e+09,0,1
1300,1.9953e+10,1.1015e-11,0.542161,0.153561,0.304278,8457.7,1.0818e+10,0,0
1300,2.5119e+10,1.3867e-11,0.568749,0.129979,0.301272,10037.4,1.4286e+10,0,0
1300,3.1623e+10,1.7457e-11,0.588339,0.112494,0.299166,11987.9,1.8605e+10,0,0
1300,3.9811e+10,2.1977e-11,0.603330,0.099091,0.297578,12000.0,2.4019e+10,0,0
1300,5.0119e+10,2.7668e-11,0.614935,0.088707,0.296358,12000.0,3.0820e+10,0,0
1300,6.3096e+10,3.4832e-11,0.623972,0.080616,0.295412,12000.0,3.9370e+10,0,0
1300,7.9433e+10,4.3851e-11,0.631037,0.074288,0.294675,12000.0,5.0125e+10,0,0
1300,1.0000e+11,5.5205e-11,0.636576,0.069326,0.294098,12000.0,6.3658e+10,0,0
