order,Te,lam,T_7,T,dT,R_7,R,dR,A_7,A,dA,Fz_7,Fz,dFz,Ftot_7,Ftot,dFtot,Fx_7,Fx,dFx,Fy_7,Fy,dFy
"[9,9]",8000.0,1306.0,0.0004019343478757643,0.0009305950532694898,0.0005286607053937256,0.5724161853747415,0.5667909238212079,-0.0056252615535336,0.42718188027738274,0.43227848112552264,0.005096600848139898,0.3565656285926704,0.36311768727527904,0.0065520586826086635,0.4271125588653929,0.4321962639751239,0.005083705109730996,0.05354623139261214,0.05237827277338518,-0.001167958619226958,0.017000698880110392,0.016700303926459693,-0.00030039495365069904
"[9,9]",8000.0,1292.0,0.02947239963836005,0.020899398247838912,-0.008573001390521136,0.6042993893924924,0.6076908299115064,0.0033914405190139663,0.36622821096914754,0.3714097718406547,0.005181560871507174,0.28457858507937184,0.2929362756150067,0.008357690535634843,0.36616751107234125,0.37133755768894255,0.005170046616601309,0.06187531602956829,0.05968772067228066,-0.0021875953572876305,0.019713609963401126,0.01871356140165521,-0.001000048561745917
"[11,11]",300.0,1302.0,0.0025675324969715255,0.0026420416078601376,7.450911088861204e-05,0.003944400194876367,0.006272614627266534,0.0023282144323901674,0.9934880673081521,0.9910853437648732,-0.002402723543278862,0.9559305632825951,0.9543515420723921,-0.0015790212102029244,0.993291922643092,0.990861988501654,-0.002429934141437995,0.029245606297704414,0.028337936292916237,-0.0009076700047881761,0.008115753062792563,0.008172510136345578,5.67570735530154e-05
"[11,11]",300.0,1268.0,0.07868944335199861,0.07087135702306686,-0.007818086328931745,0.027857605740057058,0.029123591533183443,0.0012659857931263847,0.8934529509079444,0.9000050514437496,0.006552100535805239,0.7744173461815079,0.8049335848994252,0.03051623871791731,0.893276147940645,0.899810132293655,0.006533984353010003,0.062493596547433104,0.058137379179465785,-0.004356217367967319,0.05636520521170409,0.036739168214764056,-0.019626036996940037
"[11,11]",300.0,1306.0,0.0033754115361820255,0.003768592371682938,0.00039318083550091273,0.008219746403506843,0.010863255161114941,0.002643508757608099,0.9884048420603111,0.9853681524672021,-0.0030366895931089877,0.9529268745757654,0.9503442835100158,-0.002582591065749651,0.9882059664863379,0.9851410118588985,-0.003064954627439387,0.02762248918445103,0.026982804184946904,-0.0006396849995041268,0.007656602726121327,0.007813924163935768,0.00015732143781444028
"[11,11]",300.0,1292.0,0.007120015993735277,0.005330014759532378,-0.0017900012342028987,0.0002237698540324143,0.0007345576910648107,0.0005107878370323964,0.9926562141522324,0.9939354275494028,0.001279213397170409,0.9475903984364001,0.9509949973333743,0.003404598896974198,0.9924672326813887,0.993721154651985,0.0012539219705962612,0.034942111624390725,0.03314484027092456,-0.0017972713534661622,0.009934722620597816,0.009581317047686104,-0.0003534055729117122
"[11,11]",2000.0,1302.0,0.0013384072746059714,0.0014322624372381867,9.385516263221531e-05,0.011270429815065878,0.014790255428653257,0.0035198256135873796,0.9873911629103281,0.9837774821341085,-0.0036136807762195966,0.9448267340967652,0.9426170367327515,-0.002209697364013663,0.9872163720227826,0.9835791208547614,-0.0036372511680211606,0.03313538821574981,0.031792262108778245,-0.0013431261069715636,0.009254249710267616,0.009169822013231554,-8.442769703606232e-05
"[11,11]",2000.0,1268.0,0.11058865820109022,0.09471136023625752,-0.0158772979648327,0.07817498337775802,0.08700798058544125,0.008832997207683227,0.8112363584211517,0.8182806591783013,0.007044300757149569,0.6799003589221986,0.7142364514592426,0.03433609253704406,0.8110820296059468,0.8181081964641497,0.007026166858202898,0.0695762520905632,0.06515890964948455,-0.0044173424410786505,0.0616054185931849,0.03871283535542234,-0.02289258323776256
"[11,11]",2000.0,1306.0,0.0019888506844597752,0.002684764124388894,0.0006959134399291186,0.008748207008999831,0.013310281378996317,0.004562074369996486,0.9892629423065404,0.9840049544966147,-0.005257987809925702,0.9494217249193293,0.9451650483687486,-0.004256676550580707,0.989086278497542,0.9838045788521839,-0.005281699645358184,0.03102666974896904,0.029988397230627788,-0.0010382725183412517,0.008637883829243817,0.008651133252807492,1.3249423563675353e-05
"[11,11]",2000.0,1292.0,0.008855640231518845,0.005763401058697314,-0.0030922391728215315,0.02774726045348019,0.027959863956585645,0.0002126035031054553,0.963397099315001,0.966276734984717,0.002879635669716052,0.9116878399643743,0.9173799807307488,0.005692140766374476,0.9632286624751057,0.9660847160748878,0.002856053599782027,0.04014169051403794,0.03780477875416728,-0.0023369117598706565,0.011399131996693549,0.010899956589971688,-0.0004991754067218603
