Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
3500,1280.0,0.471919,0.358438,0.065444,0.201019,0.733537,0.063260,0.020611,0.649540,0.733412,16.050724,1
3500,1282.0,0.462846,0.360769,0.053059,0.196289,0.750651,0.060674,0.018963,0.670886,0.750524,16.496816,1
3500,1284.0,0.453762,0.363106,0.042221,0.190019,0.767760,0.058235,0.017696,0.691699,0.767631,16.925501,1
3500,1286.0,0.444666,0.365447,0.032863,0.182586,0.784551,0.055941,0.016687,0.711792,0.784419,17.332522,1
3500,1288.0,0.435559,0.367792,0.024880,0.174310,0.800810,0.053780,0.015855,0.731042,0.800676,17.715265,1
3500,1290.0,0.426440,0.370143,0.018177,0.165453,0.816370,0.051743,0.015149,0.749342,0.816234,18.071425,1
3500,1292.0,0.417311,0.372500,0.012689,0.156253,0.831058,0.049826,0.014535,0.766559,0.830920,18.398160,1
3500,1294.0,0.408170,0.374860,0.008322,0.146898,0.844780,0.048022,0.013989,0.782629,0.844640,18.694483,1
3500,1296.0,0.399017,0.377225,0.004995,0.137565,0.857440,0.046325,0.013495,0.797478,0.857298,18.958988,1
3500,1298.0,0.389852,0.379595,0.002613,0.128382,0.869005,0.044727,0.013040,0.811094,0.868862,19.191888,1
3500,1300.0,0.380676,0.381971,0.001096,0.119473,0.879431,0.043224,0.012616,0.823446,0.879286,19.392796,1
3500,1302.0,0.371490,0.384351,0.000358,0.110953,0.888689,0.041812,0.012217,0.834514,0.888543,19.561806,1
3500,1304.0,0.362292,0.386736,0.000312,0.102891,0.896797,0.040482,0.011838,0.844329,0.896650,19.700045,1
3500,1306.0,0.353082,0.389126,0.000875,0.095359,0.903765,0.039234,0.011477,0.852906,0.903617,19.808243,1
3500,1308.0,0.343861,0.391521,0.001970,0.088391,0.909639,0.038060,0.011131,0.860298,0.909489,19.888093,1
3500,1310.0,0.334628,0.393922,0.003516,0.082032,0.914452,0.036958,0.010799,0.866544,0.914302,19.940856,1
3500,1312.0,0.325384,0.396327,0.005441,0.076293,0.918266,0.035924,0.010480,0.871711,0.918115,19.968477,1
3500,1314.0,0.316129,0.398737,0.007677,0.071179,0.921144,0.034953,0.010173,0.875866,0.920992,19.972780,1
3500,1316.0,0.306861,0.401152,0.010162,0.066692,0.923146,0.034042,0.009877,0.879075,0.922994,19.955604,1
3500,1318.0,0.297584,0.403573,0.012838,0.062825,0.924337,0.033186,0.009592,0.881405,0.924184,19.918712,1
3500,1320.0,0.288293,0.405999,0.015649,0.059558,0.924793,0.032384,0.009319,0.882937,0.924640,19.864204,1
3500,1322.0,0.278991,0.408429,0.018555,0.056862,0.924583,0.031631,0.009056,0.883742,0.924429,19.793965,1
3500,1324.0,0.269679,0.410864,0.021512,0.054711,0.923778,0.030924,0.008803,0.883896,0.923623,19.709837,1
3500,1326.0,0.260355,0.413304,0.024476,0.053077,0.922447,0.030261,0.008561,0.883470,0.922292,19.613619,1
3500,1328.0,0.251019,0.415751,0.027424,0.051928,0.920648,0.029639,0.008330,0.882525,0.920493,19.506692,1
3500,1330.0,0.241672,0.418202,0.030333,0.051231,0.918437,0.029054,0.008109,0.881119,0.918282,19.390637,1
