lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1302,7.9433e+08,4.3851e-13,1.2683e-01,0.512436,0.230227,0.257337,0.228748,833.1,4.0704e+08,1,1
1302,1.0000e+09,5.5205e-13,1.5967e-01,0.511259,0.231647,0.257094,0.228500,951.3,5.1126e+08,1,1
1302,1.2589e+09,6.9499e-13,2.0101e-01,0.509665,0.233565,0.256770,0.228166,1092.4,6.4163e+08,1,1
1302,1.5849e+09,8.7494e-13,2.5306e-01,0.507507,0.236150,0.256343,0.227721,1260.1,8.0434e+08,1,1
1302,1.9953e+09,1.1015e-12,3.1858e-01,0.504594,0.239619,0.255786,0.227134,1458.6,1.0068e+09,1,1
1302,2.5119e+09,1.3867e-12,4.0107e-01,0.500679,0.244251,0.255070,0.226365,1693.1,1.2576e+09,1,1
1302,3.1623e+09,1.7457e-12,5.0492e-01,0.495440,0.250393,0.254167,0.225371,1969.7,1.5667e+09,1,1
1302,3.9811e+09,2.1977e-12,6.3566e-01,0.488472,0.258475,0.253053,0.224108,2295.6,1.9446e+09,1,1
1302,5.0119e+09,2.7668e-12,8.0025e-01,0.479273,0.269013,0.251714,0.222526,2679.8,2.4021e+09,1,1
1302,6.3096e+09,3.4832e-12,1.0074e+00,0.467238,0.282614,0.250148,0.220579,3133.2,2.9481e+09,1,1
1302,7.9433e+09,4.3851e-12,1.2683e+00,0.451676,0.299959,0.248365,0.218217,3669.2,3.5878e+09,1,1
1302,1.0000e+10,5.5205e-12,1.5967e+00,0.431845,0.321777,0.246378,0.215380,4304.0,4.3184e+09,1,1
1302,1.2589e+10,6.9499e-12,2.0101e+00,0.407042,0.348770,0.244188,0.211991,5057.4,5.1244e+09,1,1
1302,1.5849e+10,8.7494e-12,2.5306e+00,0.376747,0.381494,0.241759,0.207943,5952.8,5.9710e+09,1,1
1302,1.9953e+10,1.1015e-11,3.1858e+00,0.340856,0.420158,0.238986,0.203092,7017.1,6.8010e+09,0,1
1302,2.5119e+10,1.3867e-11,4.0107e+00,0.301421,0.462767,0.235812,0.197498,8282.7,7.5714e+09,0,0
1302,3.1623e+10,1.7457e-11,5.0492e+00,0.275444,0.490856,0.233700,0.193812,9839.3,8.7103e+09,0,0
1302,3.9811e+10,2.1977e-11,6.3566e+00,0.256805,0.511007,0.232187,0.191179,11756.5,1.0224e+10,0,0
1302,5.0119e+10,2.7668e-11,8.0025e+00,0.242635,0.526328,0.231037,0.189179,12000.0,1.2161e+10,0,0
1302,6.3096e+10,3.4832e-11,1.0074e+01,0.231700,0.538150,0.230149,0.187637,12000.0,1.4619e+10,0,0
1302,7.9433e+10,4.3851e-11,1.2683e+01,0.223201,0.547341,0.229459,0.186438,12000.0,1.7729e+10,0,0
1302,1.0000e+11,5.5205e-11,1.5967e+01,0.216563,0.554517,0.228920,0.185502,12000.0,2.1656e+10,0,0
1294,1.0000e+05,5.5205e-17,1.5967e-05,0.223765,0.322640,0.453595,0.425256,300.1,2.2376e+04,1,1
1294,1.2589e+05,6.9499e-17,2.0101e-05,0.223765,0.322640,0.453595,0.425256,300.2,2.8170e+04,1,1
1294,1.5849e+05,8.7494e-17,2.5306e-05,0.223764,0.322640,0.453595,0.425256,300.2,3.5464e+04,1,1
1294,1.9953e+05,1.1015e-16,3.1858e-05,0.223764,0.322641,0.453596,0.425256,300.3,4.4647e+04,1,1
1294,2.5119e+05,1.3867e-16,4.0107e-05,0.223763,0.322641,0.453596,0.425256,300.3,5.6207e+04,1,1
1294,3.1623e+05,1.7457e-16,5.0492e-05,0.223763,0.322642,0.453596,0.425256,300.4,7.0760e+04,1,1
1294,3.9811e+05,2.1977e-16,6.3566e-05,0.223762,0.322642,0.453596,0.425256,300.5,8.9081e+04,1,1
1294,5.0119e+05,2.7668e-16,8.0025e-05,0.223761,0.322643,0.453596,0.425256,300.7,1.1215e+05,1,1
1294,6.3096e+05,3.4832e-16,1.0074e-04,0.223760,0.322644,0.453596,0.425256,300.9,1.4118e+05,1,1
1294,7.9433e+05,4.3851e-16,1.2683e-04,0.223758,0.322646,0.453596,0.425256,301.1,1.7774e+05,1,1
1294,1.0000e+06,5.5205e-16,1.5967e-04,0.223756,0.322647,0.453596,0.425257,301.4,2.2376e+05,1,1
1294,1.2589e+06,6.9499e-16,2.0101e-04,0.223754,0.322650,0.453597,0.425257,301.7,2.8169e+05,1,1
1294,1.5849e+06,8.7494e-16,2.5306e-04,0.223751,0.322652,0.453597,0.425257,302.2,3.5462e+05,1,1
1294,1.9953e+06,1.1015e-15,3.1858e-04,0.223747,0.322656,0.453598,0.425257,302.7,4.4643e+05,1,1
1294,2.5119e+06,1.3867e-15,4.0107e-04,0.223742,0.322660,0.453598,0.425258,303.4,5.6201e+05,1,1
1294,3.1623e+06,1.7457e-15,5.0492e-04,0.223735,0.322666,0.453599,0.425258,304.3,7.0751e+05,1,1
1294,3.9811e+06,2.1977e-15,6.3566e-04,0.223728,0.322673,0.453600,0.425259,305.5,8.9068e+05,1,1
1294,5.0119e+06,2.7668e-15,8.0025e-04,0.223718,0.322681,0.453601,0.425260,306.9,1.1212e+06,1,1
1294,6.3096e+06,3.4832e-15,1.0074e-03,0.223705,0.322693,0.453602,0.425261,308.6,1.4115e+06,1,1
1294,7.9433e+06,4.3851e-15,1.2683e-03,0.223689,0.322707,0.453604,0.425262,310.9,1.7768e+06,1,1
1294,1.0000e+07,5.5205e-15,1.5967e-03,0.223669,0.322724,0.453607,0.425264,313.7,2.2367e+06,1,1
1294,1.2589e+07,6.9499e-15,2.0101e-03,0.223644,0.322747,0.453609,0.425266,317.2,2.8155e+06,1,1
1294,1.5849e+07,8.7494e-15,2.5306e-03,0.223611,0.322776,0.453613,0.425268,321.6,3.5440e+06,1,1
1294,1.9953e+07,1.1015e-14,3.1858e-03,0.223570,0.322812,0.453618,0.425271,327.2,4.4608e+06,1,1
1294,2.5119e+07,1.3867e-14,4.0107e-03,0.223517,0.322859,0.453624,0.425276,334.1,5.6145e+06,1,1
1294,3.1623e+07,1.7457e-14,5.0492e-03,0.223450,0.322918,0.453632,0.425281,342.8,7.0661e+06,1,1
1294,3.9811e+07,2.1977e-14,6.3566e-03,0.223364,0.322994,0.453642,0.425288,353.8,8.8923e+06,1,1
1294,5.0119e+07,2.7668e-14,8.0025e-03,0.223253,0.323093,0.453654,0.425296,367.4,1.1189e+07,1,1
1294,6.3096e+07,3.4832e-14,1.0074e-02,0.223109,0.323220,0.453671,0.425308,384.4,1.4077e+07,1,1
1294,7.9433e+07,4.3851e-14,1.2683e-02,0.222922,0.323386,0.453692,0.425322,405.7,1.7707e+07,1,1
1294,1.0000e+08,5.5205e-14,1.5967e-02,0.222678,0.323603,0.453720,0.425341,432.0,2.2268e+07,1,1
1294,1.2589e+08,6.9499e-14,2.0101e-02,0.222356,0.323888,0.453755,0.425364,464.7,2.7993e+07,1,1
1294,1.5849e+08,8.7494e-14,2.5306e-02,0.221932,0.324266,0.453802,0.425395,505.0,3.5174e+07,1,1
1294,1.9953e+08,1.1015e-13,3.1858e-02,0.221368,0.324768,0.453864,0.425435,554.5,4.4169e+07,1,1
