wavelength_nm,K_re_over_k0,K_im_over_k0,pole_residual,bound_both_claddings,Ez_localization_fraction
1435.0,0.8239761522878577,-9.405113666107873,4.002966042486721e-16,True,0.2553081402094305
1436.0,0.8818773917635738,-9.430616213718078,1.5700924586837752e-16,True,0.2672930036072066
1437.0,0.9397771830628465,-9.456363777026404,1.1102230246251565e-16,True,0.2787394239587875
1438.0,0.9976745532164484,-9.48235725280835,1.1102230246251565e-16,True,0.28967782117722113
1439.0,1.0555685352578132,-9.508597509899841,2.0014830212433605e-16,True,0.3001363991214172
1440.0,1.1134581189152488,-9.535085472374938,1.1102230246251565e-16,True,0.3101413308704562
1441.0,1.1713422803399354,-9.561822001466522,2.482534153247273e-16,True,0.3197169477866009
1442.0,1.2292199310816754,-9.588807999600167,1.5700924586837752e-16,True,0.3288858855501123
1443.0,1.2870899856341746,-9.616044371407611,2.0014830212433605e-16,True,0.3376692416477149
1444.0,1.3449513200144796,-9.64353199819034,2.7755575615628914e-16,True,0.34608669790665575
1445.0,1.402802779815599,-9.671271770407529,1.2412670766236366e-16,True,0.35415663696879984
1446.0,1.460643169106888,-9.699264585894584,3.510833468576701e-16,True,0.3618962457763922
1447.0,1.5184712975957064,-9.727511310189056,1.6653345369377348e-16,True,0.36932161953190235
1448.0,1.576285908557592,-9.756012845084712,2.2887833992611187e-16,True,0.37644783373021506
1449.0,1.634085729263263,-9.784770056545323,2.7755575615628914e-16,True,0.3832890332668312
1450.0,1.691869443925471,-9.81378382561541,5.551115123125783e-16,True,0.3898584972700681
1451.0,1.7496357425442242,-9.843054998690281,2.2887833992611187e-16,True,0.396168712479366
1452.0,1.8073832371114507,-9.872584453629635,2.482534153247273e-16,True,0.40223141809026364
1453.0,1.8651105561605703,-9.902373033599483,2.482534153247273e-16,True,0.40805767479412947
1454.0,1.922816252491837,-9.932421589876773,2.482534153247273e-16,True,0.4136579003982205
1455.0,1.9804988958181602,-9.962730937943492,1.6653345369377348e-16,True,0.4190419280588469
1456.0,2.0381569772662984,-9.993301921004859,5.551115123125783e-17,True,0.42421903338627565
1457.0,2.095788994254199,-10.024135343806263,2.220446049250313e-16,True,0.4291979850721901
1458.0,2.1533934020468037,-10.05523200924309,2.220446049250313e-16,True,0.4339870724061167
1459.0,2.21096862434608,-10.08659271894794,6.280369834735101e-16,True,0.4385941384686486
1460.0,2.268513068759157,-10.118218242041436,2.482534153247273e-16,True,0.4430266124826409
1461.0,2.3260250795044026,-10.150109340003217,1.2412670766236366e-16,True,0.4472915311578153
1462.0,2.383503003223547,-10.182266764866863,3.3306690738754696e-16,True,0.45139557031297617
1463.0,2.440945135639475,-10.214691250274111,2.482534153247273e-16,True,0.45534506319207196
1464.0,2.498349773295612,-10.247383529967241,5.551115123125783e-17,True,0.45914602581173813
1465.0,2.5557151549963013,-10.280344294552858,6.684427777288335e-16,True,0.46280417331227597
1466.0,2.6130394994533814,-10.313574229672772,5.551115123125783e-17,True,0.4663249400594715
1467.0,2.6703209965253665,-10.347074002823874,1.1102230246251565e-16,True,0.4697134964145004
1468.0,2.7275577948237864,-10.38084427122642,2.7755575615628914e-16,True,0.4729747632028612
1469.0,2.7847480503293554,-10.414885657011018,2.220446049250313e-16,True,0.4761134312832102
1470.0,2.841889846461382,-10.449198764542693,3.554447978966673e-16,True,0.4791339681097413
1471.0,2.898981281242849,-10.48378418500664,0.0,True,0.4820406369951885
1472.0,2.9560203805098055,-10.518642489848347,1.6653345369377348e-16,True,0.48483750265021813
1473.0,3.0130051916483893,-10.553774204332063,3.510833468576701e-16,True,0.4875284501868613
1474.0,3.069933684109338,-10.58917986383664,1.1102230246251565e-16,True,0.490117185884466
1475.0,3.1268038367318205,-10.624859964637773,1.5700924586837752e-16,True,0.49260725502914654
1476.0,3.1836135962003165,-10.660814954565915,2.2887833992611187e-16,True,0.4950020482589212
1477.0,3.240360884745757,-10.697045300095951,3.1401849173675503e-16,True,0.4973048077228224
1478.0,3.2970435744599684,-10.733551402200574,4.440892098500626e-16,True,0.499518636767015
1479.0,3.3536595417883914,-10.770333651932505,2.220446049250313e-16,True,0.5016465084503061
1480.0,3.4102066255797063,-10.807392420219811,2.7755575615628914e-16,True,0.503691270163933
1481.0,3.4666826481103414,-10.844728017415513,1.6653345369377348e-16,True,0.5056556529781617
1482.0,3.5230853980514154,-10.882340766052854,5.551115123125783e-17,True,0.5075422737782213
1483.0,3.5794126381504494,-10.92023092394955,1.1102230246251565e-16,True,0.5093536444696287
1484.0,3.6356621348580145,-10.95839874643245,4.002966042486721e-16,True,0.5110921764609255
1485.0,3.691831609311562,-10.996844417546443,2.220446049250313e-16,True,0.5127601856071742
1486.0,3.7479187610259026,-11.035568132914769,2.482534153247273e-16,True,0.514359895057102
1487.0,3.803921266505733,-11.074570020459412,3.554447978966673e-16,True,0.5158934426716565
1488.0,3.8598368107135848,-11.113850192716654,1.1102230246251565e-16,True,0.5173628847429558
1489.0,3.9156630146549762,-11.15340872631768,6.753223014464259e-16,True,0.5187701970430458
1490.0,3.97139752790377,-11.193245652916756,3.885780586188048e-16,True,0.5201172834843876
1491.0,4.027037937685426,-11.233360966540534,1.1102230246251565e-16,True,0.5214059748455608
1492.0,4.082581845046638,-11.273754632961912,1.1102230246251565e-16,True,0.5226380354064984
1493.0,4.138026831342877,-11.31442659073302,2.2887833992611187e-16,True,0.5238151643741112
1494.0,4.193370440481576,-11.355376699849641,2.220446049250313e-16,True,0.5249389999151403
1495.0,4.248610220008356,-11.396604831748745,2.482534153247273e-16,True,0.5260111205020387
1496.0,4.303743702371684,-11.438110784282252,2.2887833992611187e-16,True,0.5270330497505002
1497.0,4.358768400394534,-11.47989433562876,3.885780586188048e-16,True,0.5280062567522444
1498.0,4.41368182099505,-11.52195520264203,1.6653345369377348e-16,True,0.5289321604878918
1499.0,4.468481459805651,-11.564293060874109,2.220446049250313e-16,True,0.5298121310715068
1500.0,4.523164788444814,-11.606907584762554,1.1102230246251565e-16,True,0.5306474899455998
1501.0,4.5777292891534325,-11.649798345085378,2.7755575615628914e-16,True,0.5314395168363087
1502.0,4.632172422082217,-11.69296491047643,5.551115123125783e-17,True,0.5321894467653335
1503.0,4.686491629459157,-11.736406802507988,2.220446049250313e-16,True,0.5328984736081629
1504.0,4.740684384305798,-11.780123489179639,3.3306690738754696e-16,True,0.5335677538143283
1505.0,4.794748116575056,-11.82411440385565,1.6653345369377348e-16,True,0.53419840457951
1506.0,4.848680262674994,-11.868378904733307,2.2887833992611187e-16,True,0.5347915085992156
1507.0,4.902478271232377,-11.912916356232897,1.1102230246251565e-16,True,0.5353481129428441
1508.0,4.9561395592842725,-11.95772603236738,2.7755575615628914e-16,True,0.535869232115686
1509.0,5.009661579171253,-12.002807186372866,1.1102230246251565e-16,True,0.5363558493678049
1510.0,5.063041739254849,-12.048159020296312,5.551115123125783e-17,True,0.536808916215607
1511.0,5.116277490551964,-12.093780671305248,4.47545209131181e-16,True,0.5372293569961346
1512.0,5.16936626087924,-12.139671266117087,2.7755575615628914e-16,True,0.5376180659940651
1513.0,5.222305499038351,-12.185829868724815,5.551115123125783e-17,True,0.5379759116694909
1514.0,5.275092636857076,-12.232255464540732,2.7755575615628914e-16,True,0.5383037369289803
1515.0,5.327725125784703,-12.278947043439851,1.1102230246251565e-16,True,0.538602358616761
1516.0,5.380200426482687,-12.325903514583024,2.482534153247273e-16,True,0.538872570797743
1517.0,5.4325160039555955,-12.373123749875527,1.6653345369377348e-16,True,0.5391151440977867
1518.0,5.484669332796921,-12.420606574061372,0.0,True,0.5393308270138532
