lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol
1331.5,2.250551153341908e-30,1.5478697082043022e-30,-3.2470822957056727e-25,3.4192732132894646e-25,-9.094099470882314e-38,-8.701033582601806e-37,1.1748481899624452e-31,-2.271751881602873e-32,5.523751707750854e-24,1.2062936279231287e-23,-1.3882953126448272e-38,-1.795176548783107e-38,5.329189054380261e-33,1.8229759319170985e-33,-1.311939863902996e-22,-1.2377831260523695e-21,7.304839510228639e-40,-2.614945246679786e-39,2.5083079858481465e-12,5.7850222044206244e-12,3.893635574346908e-12,1.304201524738334e-12,1.3491167289354011e-11,5.722556294066094e-12,3.9752627710956245e-12,64.93578338623047,73.98040008544922,62.607643127441406,70.65870666503906
1332.0,1.828825370810913e-30,1.1394822212182157e-30,-2.660977536292323e-25,3.73295427016967e-25,-2.3970513670031615e-37,-8.528001509523047e-37,1.244010777561847e-31,-4.0588952872399897e-32,7.076290950965883e-24,1.1349235187126447e-23,-1.5889248555806562e-38,-1.9847727391054996e-38,5.025747229877975e-33,5.800602912219358e-34,-3.4154855615505675e-22,-1.2134627408633008e-21,3.3353719312052785e-40,-2.396946020990438e-39,1.5613699318353258e-12,5.92482685190455e-12,3.983521486373426e-12,1.2697885533919504e-12,1.2739506823505252e-11,5.85510261964511e-12,2.6515974661695152e-12,59.15592575073242,67.50627899169922,57.01193618774414,64.51644134521484
1332.5,1.3303263640655927e-30,9.132926414361215e-31,-1.6870455720711537e-25,4.0061807772190957e-25,-3.6701001581221155e-37,-7.91804582684906e-37,1.258786271470363e-31,-5.397592377395196e-32,8.357575486810875e-24,1.0186645246515422e-23,-1.688153870786279e-38,-2.1004499521122867e-38,4.3452856711342167e-33,3.97267803052566e-35,-5.210918181123491e-22,-1.1295172027173367e-21,-6.105446297502787e-41,-2.05437395382474e-39,8.773891429084079e-13,5.7603221423791405e-12,3.840787026869943e-12,1.17346448993633e-12,1.1651962802093822e-11,5.670867844828592e-12,1.5722821074348492e-12,51.17280578613281,58.482513427734375,49.299442291259766,55.93174743652344
1333.0,9.344660593392608e-31,8.627481915871927e-31,-6.187530462715267e-26,3.8833079567001906e-25,-4.4465435113781304e-37,-7.2174611526377255e-37,1.1466189647052937e-31,-6.613455815494699e-32,8.97004834290027e-24,9.146792996372987e-24,-1.8382810041479532e-38,-1.90911944506686e-38,3.7579144230148776e-33,6.018961878245542e-35,-6.31786379353843e-22,-1.0283782944204072e-21,-2.1917465743244013e-40,-1.7505071024166768e-39,5.461899253034793e-13,5.414803928547719e-12,3.6265245439865577e-12,1.0628689805124872e-12,1.0650387378350243e-11,5.3386840444003725e-12,9.480353274532577e-13,44.20061111450195,50.573692321777344,42.57123947143555,48.39912414550781
1333.5,5.62811155881441e-31,9.042673605290635e-31,-3.148810865461092e-26,3.6611385659547e-25,-5.007491852515029e-37,-6.413268380345999e-37,1.0758158889131827e-31,-7.788665066923763e-32,9.359292270913425e-24,7.986043493320013e-24,-2.045599160036058e-38,-1.853501186760199e-38,2.9835852235806674e-33,-5.473992224453776e-34,-7.1180510925136765e-22,-9.139364295670304e-22,-3.2538696362504026e-40,-1.4174263962385124e-39,3.8427394756126657e-13,4.980713658715824e-12,3.3339249942809735e-12,9.399635156145456e-13,9.63887611617261e-12,4.908108552322449e-12,5.274374638404036e-13,37.20779800415039,42.619686126708984,35.82717514038086,40.81678009033203
1334.0,2.922832850583623e-31,9.956029076665706e-31,2.247853071279597e-26,3.4411806261435816e-25,-5.3158287344908286e-37,-5.720411272299587e-37,9.776625285293902e-32,-8.170508484110413e-32,9.439147476000314e-24,7.103271739188393e-24,-2.0644694273330174e-38,-1.7111007849427295e-38,2.5259039735099438e-33,-4.715354614819092e-34,-7.554686633723397e-22,-8.156638724556114e-22,-3.631800329699219e-40,-1.1663331896873174e-39,3.6397881199318037e-13,4.580764062850605e-12,3.06308946408484e-12,8.359116212684924e-13,8.843743960197117e-12,4.5108044391035295e-12,3.2682164135626775e-13,31.774742126464844,36.427677154541016,30.589885711669922,34.9100456237793
1334.5,6.370606222785046e-32,1.1214667409308788e-30,2.5101134831850524e-26,3.116949646494274e-25,-5.4856694144681195e-37,-5.047687184181755e-37,8.953177500779947e-32,-9.038716469840287e-32,9.43071083569968e-24,6.3031601274456796e-24,-2.2702258054413334e-38,-1.6104218018860665e-38,1.8650372257502926e-33,-7.504010366388704e-34,-7.795002796248181e-22,-7.190362848291239e-22,-2.9466597009779712e-40,-9.554413175865228e-40,4.2496744275155064e-13,4.161654771988704e-12,2.7913059026739427e-12,7.34798564685173e-13,8.112726682099371e-12,4.102312830185408e-12,2.425294753519925e-13,26.880136489868164,30.840539932250977,25.87384033203125,29.577672958374023
1335.0,-8.950015434000357e-32,1.2397024306072086e-30,5.520231213613047e-26,2.671237056134854e-25,-5.5526016698438765e-37,-4.529933659510181e-37,8.13885540541287e-32,-8.947256217003692e-32,9.261115577740843e-24,5.753615629547786e-24,-2.206084682575281e-38,-1.48948658931674e-38,1.7046560581642283e-33,-4.727844438285903e-34,-7.887536690731057e-22,-6.456440320753706e-22,-2.7949630592662655e-40,-7.791707050355905e-40,5.178244917906028e-13,3.838971664213159e-12,2.573089888825176e-12,6.590523349408965e-13,7.588938379769835e-12,3.782222899234491e-12,2.408883025352818e-13,23.377288818359375,26.836334228515625,22.49958610534668,25.7537841796875
1335.5,-2.144205146336266e-31,1.3658829927110759e-30,7.467090452921262e-26,2.5063989631307525e-25,-5.558376949444857e-37,-4.050132932172081e-37,7.365552760436238e-32,-8.992783696570817e-32,9.119131001909345e-24,5.2211303056196454e-24,-2.2090178459854204e-38,-1.363365995539228e-38,1.3322276967973143e-33,-3.6943812032851274e-34,-7.896290135286271e-22,-5.775346618912302e-22,-2.1671569655910274e-40,-6.416760656012632e-40,6.382702598290722e-13,3.5309643627172082e-12,2.3633255968710396e-12,5.89164950755957e-13,7.121725170173277e-12,3.4760750003809258e-12,2.8672832668138735e-13,20.286941528320312,23.298439025878906,19.523618698120117,22.3736572265625
1336.0,-2.996170599911885e-31,1.4738650230335012e-30,8.777792689084385e-26,2.244721452924716e-25,-5.5312171176438975e-37,-3.676882954945331e-37,6.79347677419238e-32,-8.914542144239149e-32,8.960787312301447e-24,4.838983624545926e-24,-2.1819922628169677e-38,-1.278269411800581e-38,1.1795604696985165e-33,-2.660847393260904e-34,-7.859141584726925e-22,-5.246348523697724e-22,-1.7604242427138818e-40,-5.328443006512495e-40,7.530128400194636e-13,3.2893364843220195e-12,2.197265699030007e-12,5.35661606895828e-13,6.775276630267318e-12,3.2347900042382794e-12,3.520699874216621e-13,18.013463973999023,20.69468116760254,17.334653854370117,19.884777069091797
1336.5,-3.7372782060347616e-31,1.5894890577388777e-30,1.0588923142439895e-25,2.0627576800852697e-25,-5.4713592971983245e-37,-3.3106109931250644e-37,6.361348031729028e-32,-8.821589089425965e-32,8.769974549718848e-24,4.458104928097221e-24,-2.1613021457716606e-38,-1.2302664016144188e-38,9.730614303229776e-34,-9.012711540761059e-35,-7.766680768923383e-22,-4.727823776059997e-22,-1.4105665170284347e-40,-4.273883135912647e-40,8.852215570020369e-13,3.0410362784557324e-12,2.034972939633246e-12,4.828901542417198e-13,6.444120929332736e-12,2.9922875016434174e-12,4.4280898985560614e-13,15.871249198913574,18.236238479614258,15.27286434173584,17.534286499023438
1337.0,-4.192395553028643e-31,1.6782919010811956e-30,1.0423022603219809e-25,1.972928542403167e-25,-5.414154002675922e-37,-3.0430399334205687e-37,5.635548072890154e-32,-8.677080463995554e-32,8.59949492257852e-24,4.181459427814544e-24,-2.130844880707268e-38,-1.0849239164531196e-38,6.72974651599339e-34,-8.325939438897785e-35,-7.680650896242838e-22,-4.333105619696319e-22,-8.681316051621789e-41,-3.528827179185172e-40,9.912188446861536e-13,2.8563209364012087e-12,1.9214969035734336e-12,4.4503627134745214e-13,6.214072956008248e-12,2.8159229242963367e-12,5.235321053401415e-13,14.40998363494873,16.55931854248047,13.866667747497559,15.9303617477417
1337.5,-4.544873894801998e-31,1.7657698269032078e-30,1.150971461396212e-25,1.705753459570981e-25,-5.345602084807001e-37,-2.795440691271005e-37,5.159268884682324e-32,-8.540675652108161e-32,8.452995876564135e-24,3.9789236846743085e-24,-2.096183556292491e-38,-1.0068286795381407e-38,6.924904313843912e-34,1.1246618148408706e-34,-7.582375556576987e-22,-3.980331289905606e-22,-4.0508204172449826e-41,-3.0324972435454164e-40,1.098932560857466e-12,2.689490609323842e-12,1.8087116553091467e-12,4.10568628840203e-13,6.007703454330658e-12,2.650600993412414e-12,6.115160343656296e-13,13.088526725769043,15.041523933410645,12.595111846923828,14.477829933166504
1338.0,-4.798229978313176e-31,1.8425207442008323e-30,1.1040453600937843e-25,1.7295119614236025e-25,-5.27664968167182e-37,-2.5845048292145585e-37,4.6756865168900505e-32,-8.341914039818096e-32,8.289860144332497e-24,3.767835037427353e-24,-2.0606763442840598e-38,-9.073662932133857e-39,4.048692655917252e-34,3.5376206680052886e-35,-7.480331880112108e-22,-3.6745966426160765e-22,-1.0090928446820582e-42,-2.489913432209378e-40,1.19594768518853e-12,2.543485891589256e-12,1.7152720227759448e-12,3.813902154314996e-13,5.83609581498523e-12,2.5089155350604905e-12,6.947729566247621e-13,12.014702796936035,13.807214736938477,11.562000274658203,13.296256065368652
1338.5,-4.978047257853661e-31,1.9173331554707396e-30,1.1161580890153923e-25,1.4787631681589832e-25,-5.203444185921916e-37,-2.3892710010564023e-37,4.54824398445653e-32,-8.178062828885929e-32,8.155748827984381e-24,3.609257950680659e-24,-2.020264763600744e-38,-9.104914268298806e-39,4.553519189638038e-34,2.162268939277653e-34,-7.376314611900349e-22,-3.4071441641084274e-22,3.620033383230136e-41,-1.9839786229459096e-40,1.2922360279940783e-12,2.4139315892239556e-12,1.6222306653015428e-12,3.5503023622027853e-13,5.683428518739855e-12,2.377323563926747e-12,7.807216828344608e-13,11.042381286621094,12.689009666442871,10.626564025878906,12.225191116333008
1339.0,-5.0873518817334615e-31,1.9801945826487072e-30,1.306925986490763e-25,1.3250489516000716e-25,-5.137067761585718e-37,-2.2268863473786456e-37,4.2058694349568086e-32,-7.942872179561178e-32,8.029154999392692e-24,3.461648118348676e-24,-1.9603519265479297e-38,-8.52281806231969e-39,4.904789594383628e-34,4.4673087903470054e-34,-7.278412520759037e-22,-3.1736305163277554e-22,6.560302195713493e-41,-1.5673911463303384e-40,1.374078409447789e-12,2.301843520672352e-12,1.5494536186513295e-12,3.332086614692622e-13,5.558584210240733e-12,2.2680173436461514e-12,8.560267256730577e-13,10.277381896972656,11.808496475219727,9.890748023986816,11.38162899017334
