lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_si,order
1445.0,2.982189146996964e-30,1.9780964793785767e-30,-1.5336311253861083e-25,6.073972810045974e-25,2.7088678954700525e-37,-5.690667526475924e-37,3.7738340812606546e-32,4.2637877449527566e-32,1.5644521574239102e-23,-1.5654138059471142e-24,2.8039307723756893e-39,-3.7603343933331306e-39,2.7310353689467916e-33,-9.13433304116222e-34,-1.083346762818084e-21,2.0519508413576068e-21,-1.4468631476823318e-40,-5.41418141804935e-40,3.0987318350003704e-12,1.449254340043543e-11,9.695135852691044e-12,4.1644820919085334e-13,2.77028592973177e-11,1.8168762855736722e-12,4.430426541619198e-12,31.324462890625,47.56785583496094,29.83419418334961,45.46031188964844,3.45,11
1446.0,3.215075585733452e-30,1.765460800025371e-30,-8.803820304726745e-26,6.315812731895265e-25,2.6307300454495566e-37,-7.134789062515664e-37,4.098859444037203e-32,3.7381179845157986e-32,1.5246694193217382e-23,-2.1383271955891904e-24,1.629538805549536e-39,-3.2550305490985894e-39,4.051861307844128e-33,-7.269907471840179e-34,-1.0239808142082848e-21,2.4769532471298455e-21,-8.946063905163609e-41,-8.719088283114417e-40,3.2462720175761833e-12,1.9283104763904684e-11,1.2920076305555503e-11,5.805927509309675e-13,3.6030045837967336e-11,2.6339299198394676e-12,4.8662897244482694e-12,40.8792839050293,62.45637512207031,38.93855667114258,59.714874267578125,3.45,11
1447.0,3.445863188147741e-30,1.4404918915855129e-30,-3.760252952112176e-26,6.624574147432787e-25,2.149840846988567e-37,-8.903103038355994e-37,3.8188007427657446e-32,3.198485921369677e-32,1.462359611060944e-23,-2.7589073571118826e-24,9.875805862610626e-40,-9.027116443807124e-40,5.77718223354249e-33,-8.0616832751636e-34,-8.358236069636478e-22,2.991106956361659e-21,-1.0184263531706622e-40,-1.3091033249980579e-39,3.3563545901273847e-12,2.581856369974467e-11,1.729155161591462e-11,8.10015568315251e-13,4.7276485474101926e-11,3.805101362595036e-12,5.320311647667874e-12,53.74213790893555,82.53561401367188,51.196346282958984,78.94541931152344,3.45,11
1448.0,3.6199622908515804e-30,9.331742110278192e-31,4.7436237979145234e-26,6.682204444100191e-25,8.535213996329497e-38,-1.1006388270414347e-36,3.5738157508446967e-32,2.509126725807632e-32,1.3553126206206685e-23,-3.2513253022732732e-24,7.104439472658338e-40,1.56945112620305e-39,7.95046249809185e-33,-1.5411102477567763e-33,-3.990913776580567e-22,3.584218349898452e-21,-2.623613887789124e-40,-1.861963734651813e-39,3.3531881224833526e-12,3.4717783103364286e-11,2.3264060241576983e-11,1.1337393106380982e-12,6.246877077806271e-11,5.505098721493303e-12,5.707275372220985e-12,71.03921508789062,109.58966827392578,67.6815414428711,104.86490631103516,3.45,11
1449.0,3.5937444633171406e-30,2.323625512769243e-31,1.7172500277707372e-25,6.124108563158975e-25,-1.7191799697256764e-37,-1.2968202274517355e-36,3.1341360980003635e-32,2.1124800701423552e-32,1.2023675238344139e-23,-3.408505691005237e-24,2.4655135301549415e-39,4.100320920531418e-39,1.0272477664437946e-32,-3.5343234967460054e-33,4.170112216358805e-22,4.1045839058347586e-21,-7.603174199869873e-40,-2.4559886566136615e-39,3.1031684031939143e-12,4.5311449532641694e-11,3.043053726129294e-11,1.538074121857005e-12,8.038322931898555e-11,7.698454911856543e-12,5.791804187640032e-12,91.29924774169922,141.3672637939453,86.99293518066406,135.3243865966797,3.45,11
1450.0,3.14863536160645e-30,-5.4415457101980635e-31,2.669575268004564e-25,5.612847762750721e-25,-5.788515522641421e-37,-1.3663542684013008e-36,1.9690107032936305e-32,1.4192698433319863e-32,1.0222015519816562e-23,-2.736930253222499e-24,4.480889158357221e-39,7.288302093391036e-39,1.1683615412992059e-32,-7.179427828622824e-33,1.6436548500792452e-21,4.216877730256325e-21,-1.6617308373322648e-39,-2.8363725212818274e-39,2.436172611682694e-12,5.4377269525506206e-11,3.64971778849327e-11,1.913586586510203e-12,9.52242066086318e-11,9.865182778774211e-12,5.172407366837586e-12,107.82874298095703,167.4518280029297,102.75530242919922,160.35826110839844,3.45,11
1451.0,2.32692469491744e-30,-9.874086844479564e-31,2.9405509357534875e-25,4.0469876572951264e-25,-9.786409498855178e-37,-1.2046777498488782e-36,8.8302097044816e-33,1.5701368320289562e-32,8.991237750554082e-24,-1.1686869570385765e-24,8.270985029063407e-39,7.890346496866963e-39,1.1034993596092171e-32,-1.1128016749777803e-32,2.7987727039038678e-21,3.641683789708232e-21,-2.6603306509165947e-39,-2.6976212297323615e-39,1.5204094625946458e-12,5.5845842242048845e-11,3.7517267564070456e-11,2.031211409839974e-12,9.691473067855392e-11,1.0748223247999268e-11,3.842152324419786e-12,109.27632904052734,170.0450439453125,104.1458740234375,162.90032958984375,3.45,11
1452.0,1.4360700139371283e-30,-9.334061125952782e-31,2.6082585314004543e-25,2.4244768466312463e-25,-1.2223032199713681e-36,-8.720870791628616e-37,1.330742488017394e-33,2.1969884904086402e-32,8.780460074753207e-24,7.758706152533359e-25,1.168574572938792e-38,6.370231858332526e-39,8.432777031246163e-33,-1.4063629248466442e-32,3.4492427839513255e-21,2.593419678519335e-21,-3.416123147360259e-39,-2.059267183439468e-39,6.962393315205146e-13,4.916622247324644e-11,3.308496987169156e-11,1.846645636433175e-12,8.479407731289168e-11,1.0017978852583021e-11,2.2967048987534656e-12,95.05278778076172,148.08969116210938,90.59960174560547,141.91690063476562,3.45,11
1453.0,7.946997277462741e-31,-5.303590571509725e-31,1.7822607442831285e-25,1.4949671808198202e-25,-1.2686370397006607e-36,-5.252327258979823e-37,-1.9359715536644235e-33,3.078668631895786e-32,9.418653832464238e-24,2.260970193999205e-24,1.399050653824005e-38,3.888616363925871e-39,5.311605122399014e-33,-1.5161907859000966e-32,3.510345410100287e-21,1.5489264396483408e-21,-3.7129831983890937e-39,-1.2810853980633255e-39,2.1628316128377e-13,3.875945852954554e-11,2.6095083024333066e-11,1.5008016651186197e-12,6.6571626380281e-11,8.342989295783497e-12,1.1121475631506334e-12,74.05976104736328,115.42028045654297,70.59812927246094,110.64805603027344,3.45,11
1454.0,4.759976684812142e-31,-7.872413308308135e-32,9.6071242887955e-26,1.4755148168166434e-25,-1.2029426331441678e-36,-2.7876827197346475e-37,-7.82931553282785e-34,3.83908377428979e-32,1.0248479823681703e-23,3.0912691585182307e-24,1.488777132871591e-38,1.4138594186680306e-39,2.9205173445221706e-33,-1.5056591972481403e-32,3.2609625281408866e-21,8.299899937007626e-22,-3.6969642275711836e-39,-6.7349744567846145e-40,5.5331298830834126e-14,2.972888058067022e-11,2.0030688468318366e-11,1.1828700209267478e-12,5.0997770368746173e-11,6.720009201704285e-12,4.732222296694957e-13,56.26227951049805,87.6414566040039,53.637939453125,84.04434204101562,3.45,11
1455.0,3.410433620045519e-31,3.289033417873754e-31,3.065592002570052e-26,1.3349366991675267e-25,-1.098698360635427e-36,-1.1024554029804038e-37,-3.965740707519868e-34,4.359017053968558e-32,1.1056231866591329e-23,3.507715520252974e-24,1.4958776179889165e-38,-7.197357960096324e-41,1.1821241965856542e-33,-1.4456200905397832e-32,2.9159156604009442e-21,3.522245069384654e-22,-3.55937980187925e-39,-2.3792317507767582e-40,5.3324425125804235e-14,2.2587869372249946e-11,1.522328121309634e-11,9.221865451837043e-13,3.878666155565579e-11,5.351735967766997e-12,1.5875580700856155e-13,42.36567687988281,65.90399932861328,40.39371871948242,63.21890640258789,3.45,11
1456.0,3.116592262580194e-31,6.494232276586537e-31,-2.856985886611518e-26,1.2548183071404228e-25,-9.944645991200845e-37,-4.9486011829795213e-39,1.1220578496840545e-33,4.6413322964706186e-32,1.1687070606918222e-23,3.656980476202449e-24,1.4620361778426109e-38,-1.316495881776934e-39,-4.362850199734185e-35,-1.3661875513450243e-32,2.5851250720833146e-21,6.151214558212767e-23,-3.3665796070020884e-39,7.643676855381874e-41,1.223206791143263e-13,1.746033879314838e-11,1.1776060638127261e-11,7.303180991664514e-13,3.008903820955642e-11,4.323160729207529e-12,4.101830279273246e-14,32.510047912597656,50.46155548095703,30.99982452392578,48.41970443725586,3.45,11
1457.0,3.322350294058599e-31,9.021332126361283e-31,-5.238615812588301e-26,1.5132641192697424e-25,-8.994862064319448e-37,6.277522999206675e-38,3.774863928135072e-33,4.955772699001398e-32,1.223032876479303e-23,3.711042515301494e-24,1.4465482819823585e-38,-2.5001188520182652e-39,-8.342873387483256e-34,-1.2942568408899066e-32,2.2904010862209514e-21,-1.2010545837588493e-22,-3.190862609192374e-39,2.7717663781011116e-40,2.1691928727327988e-13,1.3698418653774435e-11,9.24168374417437e-12,5.863919826750977e-13,2.3743413667897185e-11,3.5395094451503098e-12,2.2247396905870477e-14,25.344327926635742,39.21704864501953,24.16935920715332,37.640769958496094,3.45,11
1458.0,3.7258694568187525e-31,1.0881421688233921e-30,-1.0152733610971406e-25,1.4416874305499818e-25,-8.225088448327008e-37,1.0389009314505395e-37,5.207455147767193e-33,4.961130265109896e-32,1.2603676260671541e-23,3.680480094834894e-24,1.3645412226640945e-38,-3.1309025437074775e-39,-1.3939349222609792e-33,-1.2290217905560837e-32,2.0556904160367778e-21,-2.257928631559969e-22,-3.027718439334135e-39,4.237532960232322e-40,3.0936822396191167e-13,1.1106838566703685e-11,7.50409900552934e-12,4.852247832535106e-13,1.9405530579448448e-11,2.9800282131398855e-12,5.076388083016104e-14,20.46100425720215,31.544620513916016,19.513912200927734,30.284154891967773,3.45,11
