Stage A: 1052 evaluations planned
[127/1052    386s] rod_veins              [0.11, 0.02]               fill=0.070 score=  0.00%  no complete gap at target  | TM@t=[0.371,0.439] TE@t=-
[128/1052    389s] rod_veins              [0.11, 0.04]               fill=0.103 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[129/1052    392s] rod_veins              [0.11, 0.06]               fill=0.136 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[130/1052    395s] rod_veins              [0.11, 0.08]               fill=0.169 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[131/1052    398s] rod_veins              [0.11, 0.1]                fill=0.202 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.407,0.469]
[132/1052    401s] rod_veins              [0.11, 0.12]               fill=0.236 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.374,0.461]
[133/1052    405s] rod_veins              [0.11, 0.14]               fill=0.270 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.353,0.450]
[134/1052    408s] rod_veins              [0.11, 0.16]               fill=0.306 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.336,0.436]
[135/1052    411s] rod_veins              [0.11, 0.18]               fill=0.340 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.319,0.421]
[136/1052    414s] rod_veins              [0.11, 0.2]                fill=0.373 score=  0.00%  no complete gap at target  | TM@t=[0.402,0.412] TE@t=-
[137/1052    417s] rod_veins              [0.11, 0.22]               fill=0.406 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[138/1052    420s] rod_veins              [0.14, 0.02]               fill=0.091 score=  0.00%  no complete gap at target  | TM@t=[0.330,0.430] TE@t=-
[139/1052    423s] rod_veins              [0.14, 0.04]               fill=0.122 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[140/1052    426s] rod_veins              [0.14, 0.06]               fill=0.152 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[141/1052    429s] rod_veins              [0.14, 0.08]               fill=0.182 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[142/1052    432s] rod_veins              [0.14, 0.1]                fill=0.213 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.401,0.464]
[143/1052    435s] rod_veins              [0.14, 0.12]               fill=0.244 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.369,0.455]
[144/1052    438s] rod_veins              [0.14, 0.14]               fill=0.275 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.349,0.445]
[145/1052    441s] rod_veins              [0.14, 0.16]               fill=0.307 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.334,0.433]
[146/1052    444s] rod_veins              [0.14, 0.18]               fill=0.340 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.319,0.420]
[147/1052    447s] rod_veins              [0.14, 0.2]                fill=0.373 score=  0.00%  no complete gap at target  | TM@t=[0.402,0.412] TE@t=-
[148/1052    450s] rod_veins              [0.14, 0.22]               fill=0.406 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[149/1052    453s] rod_veins              [0.17, 0.02]               fill=0.117 score=  0.00%  no complete gap at target  | TM@t=[0.300,0.413] TE@t=-
[150/1052    456s] rod_veins              [0.17, 0.04]               fill=0.145 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[151/1052    459s] rod_veins              [0.17, 0.06]               fill=0.173 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[152/1052    462s] rod_veins              [0.17, 0.08]               fill=0.201 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[153/1052    465s] rod_veins              [0.17, 0.1]                fill=0.228 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.394,0.453]
[154/1052    468s] rod_veins              [0.17, 0.12]               fill=0.257 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.363,0.445]
[155/1052    471s] rod_veins              [0.17, 0.14]               fill=0.286 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.345,0.435]
[156/1052    474s] rod_veins              [0.17, 0.16]               fill=0.315 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.330,0.424]
[157/1052    477s] rod_veins              [0.17, 0.18]               fill=0.345 score=  0.38%  gap [0.4083,0.4132] TM3-4/TE1-2  | TM@t=[0.408,0.424] TE@t=[0.316,0.413]
[158/1052    480s] rod_veins              [0.17, 0.2]                fill=0.375 score=  0.00%  no complete gap at target  | TM@t=[0.401,0.411] TE@t=-
[159/1052    483s] rod_veins              [0.17, 0.22]               fill=0.406 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[160/1052    486s] rod_veins              [0.2, 0.02]                fill=0.151 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[161/1052    489s] rod_veins              [0.2, 0.04]                fill=0.176 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[162/1052    492s] rod_veins              [0.2, 0.06]                fill=0.201 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[163/1052    495s] rod_veins              [0.2, 0.08]                fill=0.227 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[164/1052    498s] rod_veins              [0.2, 0.1]                 fill=0.252 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.386,0.431]
[165/1052    501s] rod_veins              [0.2, 0.12]                fill=0.278 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.356,0.423]
[166/1052    504s] rod_veins              [0.2, 0.14]                fill=0.304 score=  0.00%  no complete gap at target  | TM@t=- TE@t=[0.338,0.415]
[167/1052    507s] rod_veins              [0.2, 0.16]                fill=0.330 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[168/1052    510s] rod_veins              [0.2, 0.18]                fill=0.357 score=  0.00%  no complete gap at target  | TM@t=[0.404,0.417] TE@t=-
[169/1052    513s] rod_veins              [0.2, 0.2]                 fill=0.384 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
