lam_nm,T_full,R_full,T_A_EDonly,R_A_EDonly,T_B_ED_EQ,R_B_ED_EQ,T_C_ED_EQ_MD,R_C_ED_EQ_MD,T_D_plus_2nd,R_D_plus_2nd,T_X_exact_integral,R_X_exact_integral,T_noED,R_noED,T_noEQ,R_noEQ
1342.0,0.16325229786425502,0.7459771791299233,0.3810071278169918,0.3894483245252023,1.6639413395036784,3.374536008469565,0.032795112127862,0.40436070764788984,0.025949277050241873,0.3845268989822246,0.15902159716146966,0.721434548518409,0.354982726892221,0.4192876957063909,3.6653834758951915,3.2232228683614115
1343.0,0.18610392645176813,0.7229427464398696,0.3876879279127567,0.3732564501519511,1.5143014470903342,3.0942917436970174,0.03651981157805561,0.3907275410344953,0.02895966877314817,0.3730810011483405,0.17559713321578058,0.6978597091982993,0.32193426993921387,0.4572565158276307,3.3768466768811223,2.936385653335332
1344.0,0.20892881046421244,0.7006143722882426,0.39370077518895485,0.3588841381137067,1.3902264748311284,2.8535159855364993,0.04114248041373322,0.37839708480018336,0.032893761240652464,0.36277490968904125,0.1919455261737988,0.6752191934950257,0.2923805084177693,0.49245608639863153,3.130815548582908,2.694612768156952
1345.0,0.23161927713473043,0.6785890307568999,0.3989270449053874,0.34605197509253166,1.28621114853684,2.6436396209820425,0.04647399476701255,0.36667772355432016,0.03756286749652439,0.3529382860538091,0.20799981614240529,0.6529735852033471,0.2658686644416703,0.5249256183723063,2.9181837892927134,2.4883663197576467
1346.0,0.25404128550895594,0.6568350438040085,0.4035709483439051,0.33433584665479327,1.198069648146205,2.4600262250872693,0.05231524253249417,0.35540630857975536,0.04277931265152157,0.34343935930158387,0.22362092642947276,0.6311087023735733,0.24205050979691212,0.5548431150646715,2.733549952251354,2.310195574477533
1347.0,0.27637171841365044,0.6354935799901227,0.4078109284601689,0.32378019559171956,1.122631458562705,2.2964217641009226,0.058709744080020186,0.344686156710681,0.04856646140672962,0.3343752725129663,0.2391228416238977,0.6097578774360655,0.2205052581307522,0.5826149675102111,2.5703412138460124,2.154494527976748
1348.0,0.29865482667948307,0.6141665573182609,0.4114899588476822,0.31398739098685197,1.0560874463125676,2.1473068289413844,0.06547894532652472,0.33406766676747995,0.05475678783775398,0.32533279105273355,0.2544171519363538,0.5884615139968702,0.20096761492071774,0.6084760704452886,2.4225430129193017,2.014609830095393
1349.0,0.3208180099914033,0.5932480075078219,0.4147873311733074,0.305116564082337,0.9992298766566948,2.01348829402131,0.07261672298805802,0.3237894591580311,0.06133810992617319,0.31652880483109164,0.2695889364809581,0.5675951715372485,0.18343920658967044,0.6322881808184959,2.2910935846943694,1.8918791655904403
1350.0,0.3429189831319029,0.5724383361085695,0.41763101957816223,0.29691741104228125,0.9488593384592836,1.890516052843591,0.08005865761230922,0.3135968826062391,0.06824897407959798,0.3077368910695101,0.2845650064018268,0.5468522107557668,0.1676348436551385,0.654384276313302,2.170998735264575,1.7806831221856343
1351.0,0.3645180163469153,0.5519079599859333,0.42017940296467726,0.28917976883632923,0.9031710486017079,1.7763232758784016,0.08760132693819764,0.3035788627829908,0.07530451355342599,0.29904566003017613,0.29891825027413765,0.5263298815704937,0.1535978428603152,0.6745557515095241,2.0603592267809563,1.678601568321714
1352.0,0.38626843788508225,0.5314056934361354,0.4223809145788482,0.2820938787566318,0.8624757034131386,1.6697123849842206,0.09554527633399164,0.2935984792176283,0.08276777446726666,0.29032595492442587,0.3134908567937213,0.5058870965164168,0.14094765294606582,0.6933945922989572,1.9576214828106697,1.5850135956517553
1353.0,0.40770150303778946,0.5112652061326884,0.42427660447008064,0.2755497925672443,0.8262957767699428,1.5709204197447677,0.10362927098564417,0.2837983351607591,0.09039992578024192,0.2817116206981977,0.327755058306117,0.4857851608159158,0.1298437955528467,0.710578644454306,1.8630096575359065,1.4996843586488664
1354.0,0.42888499245732786,0.4915327950148311,0.42601960436364156,0.269500928616845,0.79402893894039,1.4791869639656412,0.1119020990128651,0.2742157786581262,0.09824525781469279,0.2732426477071697,0.3418298826794602,0.46609460245053164,0.12015771904421346,0.7262155333338215,1.7757304713979543,1.4214587580729
1355.0,0.44989245339250866,0.47185663013737045,0.42744281186176075,0.26393577995633616,0.7647250241920978,1.392354107978042,0.1203908321708677,0.2645658430114981,0.10632647355914522,0.2646437356911717,0.35573726027612335,0.44642428095000336,0.11178506214565193,0.7403943520478834,1.6936784577294826,1.34871627287445
1356.0,0.4706017503824932,0.4523839409457198,0.4285224930101732,0.25878539789713273,0.7381993560007889,1.3106423140758185,0.1289347197220988,0.25499415354366073,0.11448953807735075,0.25606436170957814,0.3693718871017136,0.4269789224258265,0.1047011647496022,0.7532016843346937,1.6167489434953333,1.2811594362175143
1357.0,0.49067772750406746,0.43374012288087016,0.42967066864449927,0.2539748986799635,0.7130554058699335,1.2327606840993546,0.13759144621494868,0.2457923539370101,0.12279402153935041,0.24778216501436168,0.382563410763818,0.40820854659916816,0.09883863349576581,0.7646195313511605,1.5436369625639241,1.2166111807204534
1358.0,0.5110798703521056,0.4147650298832709,0.43046987665768177,0.24966298775504986,0.6909211229056988,1.1583351733392229,0.14663033381284332,0.2363893261315912,0.13148079113944766,0.23925512618968617,0.39617587685372013,0.38918363704997205,0.09404925092414079,0.7749841710637992,1.474160064321729,1.1567491237732606
1359.0,0.5307509530235635,0.39645692314901737,0.43102954526111925,0.24578216116157076,0.6708364150701869,1.0886282797770854,0.15548926430562532,0.2271873229148717,0.140024488444582,0.23084900256481825,0.40909684685547965,0.37071016417092334,0.09053056983604951,0.7836827806987499,1.409468240454669,1.1015052717721876
1360.0,0.5503429407444927,0.37838241417896257,0.43157446171525327,0.24229155133852945,0.6520270772198272,1.0208720868737444,0.16479938912272946,0.21801517115871213,0.14902076729070302,0.22242293829147228,0.42229978104102606,0.35239493595078364,0.08798908247985199,0.7914279232619014,1.3467418461152763,1.0481520086369835
