h_nm,lam_nm,R_p0550,R_bare,clean,AR_gain
225.0,1350.0,0.031127722333619,0.0349659484513376,True,0.0038382261177186024
225.0,1351.0,0.031694573925516,0.0349659484513376,True,0.003271374525821602
225.0,1352.0,0.0323282435984892,0.0349659484513376,True,0.0026377048528484007
225.0,1353.0,0.032941193627822,0.0349659484513376,True,0.0020247548235155996
225.0,1354.0,0.0335542847936206,0.0349659484513376,True,0.0014116636577169994
225.0,1355.0,0.0341706790590876,0.0349659484513376,True,0.0007952693922500045
225.0,1356.0,0.0348232265800278,0.0349659484513376,False,0.00014272187130980052
225.0,1357.0,0.0354523537423089,0.0349659484513376,False,-0.0004864052909712979
225.0,1358.0,0.0360957665120208,0.0349659484513376,False,-0.0011298180606831992
225.0,1359.0,0.036750350662641,0.0349659484513376,False,-0.0017844022113033958
225.0,1360.0,0.0373928589736254,0.0349659484513376,False,-0.0024269105222877937
225.0,1361.0,0.0380353449540172,0.0349659484513376,False,-0.0030693965026795944
225.0,1362.0,0.0387309988800274,0.0349659484513376,False,-0.003765050428689798
225.0,1363.0,0.0393323755470704,0.0349659484513376,False,-0.004366427095732796
225.0,1364.0,0.040026590367699,0.0349659484513376,False,-0.005060641916361394
225.0,1365.0,0.0407091637147962,0.0349659484513376,False,-0.005743215263458598
225.0,1366.0,0.0413724789205625,0.0349659484513376,False,-0.006406530469224896
225.0,1367.0,0.0419927630021865,0.0349659484513376,False,-0.0070268145508489005
225.0,1368.0,0.0426417726450625,0.0349659484513376,False,-0.007675824193724895
225.0,1369.0,0.0433160550316626,0.0349659484513376,False,-0.008350106580325
225.0,1370.0,0.0439576819217173,0.0349659484513376,False,-0.008991733470379695
225.0,1371.0,0.0445491841815621,0.0349659484513376,False,-0.009583235730224494
225.0,1372.0,0.0451546999189069,0.0349659484513376,False,-0.010188751467569299
225.0,1373.0,0.0457319664378316,0.0349659484513376,False,-0.010766017986494
225.0,1374.0,0.0462945517420108,0.0349659484513376,False,-0.0113286032906732
225.0,1375.0,0.0468236815240197,0.0349659484513376,False,-0.011857733072682099
225.0,1376.0,0.0473050659387775,0.0349659484513376,False,-0.012339117487439898
225.0,1377.0,0.0476560670443347,0.0349659484513376,False,-0.012690118592997096
225.0,1378.0,0.0479925682680986,0.0349659484513376,False,-0.013026619816760995
225.0,1379.0,0.0481155676565836,0.0349659484513376,False,-0.013149619205245995
225.0,1380.0,0.0481431591837309,0.0349659484513376,False,-0.0131772107323933
225.0,1381.0,0.0479782937680396,0.0349659484513376,False,-0.013012345316702
225.0,1382.0,0.0474234759444212,0.0349659484513376,False,-0.012457527493083598
225.0,1383.0,0.0463243583377772,0.0349659484513376,False,-0.011358409886439595
225.0,1384.0,0.0446967336725847,0.0349659484513376,False,-0.009730785221247096
225.0,1385.0,0.042308472966983,0.0349659484513376,False,-0.0073425245156453975
225.0,1386.0,0.0474581911032188,0.0349659484513376,False,-0.012492242651881195
225.0,1387.0,0.8011112941868082,0.0349659484513376,False,-0.7661453457354706
225.0,1388.0,0.1966769348638637,0.0349659484513376,False,-0.1617109864125261
225.0,1389.0,0.1137278384521478,0.0349659484513376,False,-0.0787618900008102
225.0,1390.0,0.0950375991648326,0.0349659484513376,False,-0.060071650713495
225.0,1391.0,0.0872028368160428,0.0349659484513376,False,-0.05223688836470519
