set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0750_lam,l1318,0.5571062620864572,0.1229712420951194,0.1169550761129657,0.2029674197054577,0.0961527656084478,0.9036195460894144
P0750_lam,l1319,0.5391963240119153,0.1579504081263696,0.092883667210899,0.2099696006508159,0.1055443607023373,0.8944226352747029
P0750_lam,l1320,0.5132077553299125,0.203364758834935,0.0688471581915579,0.2145803276435945,0.1173724203816328,0.8827020385896285
P0750_lam,l1321,0.4769243775758531,0.2608217248353319,0.0466695403790176,0.2155843572097973,0.1324322230573651,0.8674216110558914
P0750_lam,l1322,0.4309306901074251,0.3273210736699868,0.0301021876206223,0.2116460486019658,0.1511176896174522,0.8488698237390516
P0750_lam,l1323,0.3760985902290677,0.399780864837038,0.0223219753332612,0.201798569600633,0.1750165325021127,0.824950154659029
P0750_lam,l1324,0.3157677747863514,0.4721227955008663,0.0260879908679338,0.1860214388448484,0.2059726906953094,0.7938727230008622
P0750_lam,l1325,0.2550731126034234,0.537236583376605,0.0424482771040345,0.1652420269159371,0.2467258434318752,0.7526574133326438
P0750_lam,l1326,0.1991807627613704,0.5891739298852667,0.070137156004249,0.1415081513491139,0.302475336402175,0.6967958565678529
P0750_lam,l1327,0.1521533286612139,0.6246294539787555,0.1061317236033734,0.117085493756657,0.3804714850396223,0.6186617787435831
P0750_lam,l1328,0.1157760087252324,0.6435135676039877,0.146822200475474,0.0938882231953058,0.4899478081491796,0.5095299479128403
P0750_lam,l1328.2,0.1099176310198628,0.6454439454411897,0.1550571262662198,0.0895812972727276,0.5152498161121806,0.4845786136789461
P0750_lam,l1328.4,0.1044908156913161,0.6468395527898617,0.1632850075840394,0.0853846239347826,0.540733473918642,0.4575770446952525
P0750_lam,l1328.6,0.0992303478682894,0.6477215462070992,0.171875225550709,0.0811728803739022,0.5675378464221457,0.4315194783460843
P0750_lam,l1328.8,0.094771238582531,0.6480381160289826,0.1798358261513932,0.0773548192370931,0.5908284079213731,0.4081265085747336
P0750_lam,l1329,0.0905567883612063,0.6479383011683426,0.187968242649285,0.0735366678211659,0.6128858456970798,0.3856139879816129
P0750_lam,l1329.2,0.0865883036334806,0.6473951666819968,0.1962466285036649,0.0697699011808574,0.6311369579545206,0.3668010431404869
P0750_lam,l1329.4,0.0831305153673314,0.6464171281049231,0.2042005529714095,0.0662518035563359,0.6420195558272407,0.3556166059999323
P0750_lam,l1329.6,0.0799359780848617,0.6450594464320143,0.2121847378986777,0.0628198375844462,0.6450117662701413,0.353603856200142
P0750_lam,l1329.8,0.0770827187798388,0.6433432388420678,0.2200986201900085,0.0594754221880849,0.6357504426046655,0.3610105261667402
P0750_lam,l1330,0.0745915497750026,0.6413268356858463,0.2277226708189683,0.0563589437201828,0.6150824525184737,0.3828065865257435
