h_nm,r11_re,r11_im,r22_re,r22_im,t21_re,t21_im,t12_re,t12_im,R_f,R_b,T,reciprocity_resid,unitarity_resid
232.5,0.0082765519618988,0.1712693274021148,-0.1707582920789718,0.0145589709281921,-0.7410876750946045,-0.6489744186401367,-0.7410862445831299,-0.648975670337677,0.029401683821150798,0.029370357948215388,0.9703787382264296,1.9008181952359647e-06,0.00021957795241955846
235.0,-0.043553203344345,0.1951628774404525,-0.1956860572099685,0.0408530831336975,-0.6876112222671509,-0.6978389620780945,-0.6876095533370972,-0.6978399157524109,0.039985430252390944,0.03996200738791187,0.9597884099819575,1.922192036699903e-06,0.00022615976565154572
237.5,-0.0977566838264465,0.2108835577964782,-0.2237031906843185,0.0630243122577667,-0.630346417427063,-0.7405403852462769,-0.6303443312644958,-0.7405419945716858,0.05402824418164438,0.054015181457909026,0.9457366681438374,2.6347680217385705e-06,0.00023508767451818624
240.0,-0.1529709696769714,0.2183469086885452,-0.2540703117847442,0.0807582736015319,-0.5702859163284302,-0.776824414730072,-0.5702829957008362,-0.776824951171875,0.07107549009775682,0.07107362208549703,0.9286821976832762,2.969484020967758e-06,0.00024231221896697797
242.5,-0.207908034324646,0.2177163064479828,-0.286045104265213,0.0938958972692489,-0.5083915591239929,-0.8066328167915344,-0.5083884000778198,-0.8066338896751404,0.09062614083009014,0.09063824119809395,0.9091184785135694,3.3362631724253964e-06,0.0002553806563404537
245.0,-0.2614063918590545,0.2093741297721862,-0.3189172148704529,0.1024183928966522,-0.4455587863922119,-0.8300849795341492,-0.4455549418926239,-0.8300852179527283,0.11217082792262985,0.11219771714425963,0.8875637053795095,3.851885317749036e-06,0.00026546669786065014
247.5,-0.3124556243419647,0.1938631236553192,-0.3520331978797912,0.1064286828041076,-0.3825792670249939,-0.8474337458610535,-0.3825746774673462,-0.8474337458610535,0.1352114278963246,0.13525443693288958,0.864510849181478,4.589557647705078e-06,0.0002777229221974098
250.0,-0.3602233827114105,0.1718340367078781,-0.3848213851451874,0.1061206087470054,-0.3201217949390411,-0.8590353727340698,-0.3201180100440979,-0.8590347170829773,0.15928782162337574,0.15934908206589568,0.8404197352033559,3.841263865716331e-06,0.0002924431732683752
252.5,-0.4040463268756866,0.1440057605504989,-0.416792631149292,0.1017532423138618,-0.2587355375289917,-0.8653090596199036,-0.2587311267852783,-0.8653083443641663,0.18399109333346178,0.18406981970173322,0.8157038470406982,4.468361094949559e-06,0.00030505962584004287
255.0,-0.4434206783771515,0.1111140251159668,-0.4475510418415069,0.0936256572604179,-0.1988412886857986,-0.8667013049125671,-0.1988365948200225,-0.8667000532150269,0.2089682245899249,0.20906769875086348,0.7907090100233759,4.857892820585672e-06,0.0003227653866991753
257.5,-0.4779929220676422,0.0738858431577682,-0.4767839312553406,0.0820516347885131,-0.1407478898763656,-0.8636638522148132,-0.1407429575920105,-0.8636623024940491,0.23393635136589744,0.23405538787476482,0.7657252181271803,5.1700158033136515e-06,0.0003384305069222826
260.0,-0.5075268745422363,0.0330141298472881,-0.5042575597763062,0.0673416182398796,-0.0846674665808677,-0.8566251397132874,-0.0846613571047782,-0.8566230535507202,0.25867346115218454,0.25881058013872066,0.7409752098860313,6.455832428478758e-06,0.00035132896178424744
262.5,-0.5318812131881714,-0.0108644859865307,-0.5298057794570923,0.0497876368463039,-0.0307242572307586,-0.8459746837615967,-0.0307191256433725,-0.8459725975990295,0.2830156619982726,0.2831729727288766,0.7166171455479153,5.539428071354648e-06,0.00036719245381200416
