order,lam_nm,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
13,1331.0,-0.037985075265169144,0.13047544658184052,-0.9743345975875854,-0.08999525755643845,0.03872511008171088,0.9618373934739176,-0.03833266347646713,0.1306028813123703,-0.8914980292320251,-0.042204320430755615,0.0755075675725621,0.9247432663133895
13,1331.5,-0.02070319838821888,0.060026440769433975,-0.9859731197357178,0.027217470109462738,0.018856608291794103,0.9797943011595505,-0.02063608728349209,0.06003478169441223,-0.9089592099189758,0.002996593713760376,0.054001046235893996,0.9455921024669633
13,1332.0,-0.01682506874203682,0.0005677223089151084,-0.9803215265274048,0.1235189214348793,0.011865530066039295,0.9868508143729633,-0.01684192754328251,0.0005474642384797335,-0.9167920351028442,0.04303750395774841,0.04437302263938094,0.954793976218046
13,1332.5,-0.020544925704598427,-0.05192151293158531,-0.9643161296844482,0.20735156536102295,0.012404217582749623,0.9876865709955089,-0.02072417549788952,-0.05163823440670967,-0.9190971255302429,0.07961368560791016,0.04238144050609807,0.9575809279882188
13,1333.0,-0.029865270480513573,-0.09442248195409775,-0.9426007270812988,0.2738558053970337,0.01764369861899931,0.9822629921961136,-0.029663829132914543,-0.09426848590373993,-0.9167583584785461,0.11079782247543335,0.045129507040444286,0.9546466283588168
13,1333.5,-0.042025528848171234,-0.1305425763130188,-0.9182311296463013,0.32874932885169983,0.025660193286629232,0.9737063442800205,-0.04192731902003288,-0.13068537414073944,-0.9120360612869263,0.13816674053668976,0.05102085549113564,0.948847363935713
13,1334.0,-0.05597594380378723,-0.16244174540042877,-0.892328143119812,0.37736839056015015,0.035677415119849856,0.9645837201147512,-0.05593563988804817,-0.16249091923236847,-0.9055585265159607,0.1633722335100174,0.05886670766809306,0.9412876662800395
13,1334.5,-0.07078560441732407,-0.18834716081619263,-0.8661600351333618,0.4173756241798401,0.046196074198456144,0.9530632617877124,-0.07089003175497055,-0.18833069503307343,-0.8979697227478027,0.1846136450767517,0.06760623986690338,0.9320275514779843
13,1335.0,-0.08743642270565033,-0.21373127400875092,-0.8388147354125977,0.4543503224849701,0.058701347692242334,0.9414908056123481,-0.08734465390443802,-0.2137002795934677,-0.8889009952545166,0.20619869232177734,0.07827999560550833,0.9216248390101391
13,1335.5,-0.10250536352396011,-0.2325654923915863,-0.8146250247955322,0.48231250047683716,0.0697364845823972,0.9297926984177074,-0.10246496647596359,-0.23263594508171082,-0.8803460001945496,0.22295166552066803,0.08800622029689305,0.9115871655384906
13,1336.0,-0.1195288822054863,-0.2517465353012085,-0.7878847122192383,0.5103877186775208,0.0825961147220255,0.916922258091225,-0.11943281441926956,-0.2519545257091522,-0.8703480958938599,0.24072203040122986,0.09951435638597192,0.9002187449726026
13,1336.5,-0.13485687971115112,-0.26678478717803955,-0.7640891075134277,0.5327925086021423,0.09413764254733932,0.9049745766095052,-0.13502193987369537,-0.2666451334953308,-0.8611118197441101,0.25561240315437317,0.1099183464480567,0.8897566180827655
13,1337.0,-0.15127360820770264,-0.28091639280319214,-0.7401435375213623,0.5535988211631775,0.10649588530635969,0.8929613902091522,-0.15128207206726074,-0.28089872002601624,-0.8509957194328308,0.26975566148757935,0.12126621948065563,0.8782379765852382
13,1337.5,-0.16759157180786133,-0.2939997613430023,-0.7160769701004028,0.5726341009140015,0.11911236035506684,0.8806685759620045,-0.16759169101715088,-0.29414039850234985,-0.840735137462616,0.2835908532142639,0.13314070320695778,0.866906420236444
