tag,lam_nm,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
A_P271_H185_s11_g96_o9,625.0,0.5068302154541016,0.05264732241630554,0.5067722201347351,0.05268467962741852,0.02519274316728115,0.01546456664800644,0.7178189754486084,0.7769623398780823,1.121190234698588e-05,8.225921192206442e-05,-215.48440551757812,35.484405517578125,0.515264093875885,0.6036704778671265,0.011493603698909283,0.06981157511472702,0.47324231266975403,0.3265179395675659,0.37244537472724915,-0.6136354804039001,1.081752088794019e-06,-1.1159595487697516e-05,-1.934381725732237e-05,7.995244959602132e-05,-0.7138127088546753,0.3068254888057709,-0.009971870109438896,0.10674338787794113,-0.2387704998254776,-0.1131380945444107
A_P271_H185_s11_g96_o9,630.0,0.5226210951805115,0.0708540827035904,0.522623598575592,0.07082957029342651,0.033204272389411926,0.02936536818742752,0.7730289697647095,0.767694354057312,2.8570650556503097e-06,4.894929952570237e-05,-220.42298889160156,40.423011779785156,0.5975738167762756,0.5893546342849731,0.00528083648532629,0.11985709518194199,0.3971453607082367,0.2907882630825043,0.2419762909412384,-0.7341806888580322,1.5948421605571639e-06,-2.3705060812062584e-06,2.9156191885704175e-05,-3.931857645511627e-05,-0.6557161808013916,0.3992379307746887,-0.020567482337355614,0.06969799846410751,-0.313077449798584,-0.14778228104114532
A_P271_H185_s11_g96_o9,635.0,0.5277056694030762,0.08751573413610458,0.5272897481918335,0.0874384418129921,0.043514128774404526,0.0518430657684803,0.8180359601974487,0.7488435506820679,2.2818885554443114e-05,0.0003171235730405897,-224.085205078125,44.0851936340332,0.6691829562187195,0.5607666373252869,0.003672907827422023,0.1870451718568802,0.32714414596557617,0.25218820571899414,0.09664949774742126,-0.8123064041137695,9.989853424485773e-07,-2.2797008568886667e-05,0.00031486526131629944,3.777878373512067e-05,-0.5808936357498169,0.4725772440433502,-0.03957199305295944,0.04590051621198654,-0.3999949097633362,-0.16446654498577118
A_P271_H185_s11_g96_o9,640.0,0.5216650366783142,0.10111933201551437,0.5219127535820007,0.10100789368152618,0.05578731745481491,0.0786527618765831,0.8537390232086182,0.7189121842384338,1.215640895679826e-05,0.0002725808881223202,-226.7262725830078,46.72629165649414,0.7288703918457031,0.5168347358703613,0.004591969307512045,0.2642423212528229,0.2665376365184784,0.2189229428768158,-0.05015137791633606,-0.8522647023200989,-9.106019206228666e-06,-8.053490091697313e-06,-8.497647650074214e-05,-0.00025899679167196155,-0.4935780167579651,0.5227001905441284,-0.05811714008450508,0.03484681248664856,-0.4882742166519165,-0.16071906685829163
A_P271_H185_s11_g96_o9,645.0,0.5106930732727051,0.1125050038099289,0.5106163024902344,0.11243703961372375,0.07039957493543625,0.10745122283697128,0.8815843462944031,0.6848800182342529,2.196579589508474e-05,0.00011310976697131991,-228.7393798828125,48.73939514160156,0.7771909832954407,0.46906062960624695,0.006240755785256624,0.34942004084587097,0.216568261384964,0.1815192997455597,-0.188240647315979,-0.8612528443336487,-1.7333992218482308e-05,-1.349181002296973e-05,8.529688057024032e-05,-7.428500248352066e-05,-0.40652015805244446,0.5511823296546936,-0.07194112241268158,0.03263777121901512,-0.5756130814552307,-0.1344977170228958
A_P271_H185_s11_g96_o9,650.0,0.4941897392272949,0.12242376059293747,0.49424922466278076,0.12247375398874283,0.08628695458173752,0.13462282717227936,0.9035778045654297,0.6456653475761414,1.6131325537571684e-05,8.552144572604448e-05,-230.41378784179688,50.41376876831055,0.8164528608322144,0.4168837368488312,0.007489691488444805,0.43436315655708313,0.17605744302272797,0.14875313639640808,-0.3149220645427704,-0.8469220399856567,3.059762093471363e-06,1.583848279551603e-05,-4.597719089360908e-05,7.211113552330062e-05,-0.3229933977127075,0.5590697526931763,-0.07903674244880676,0.03525451570749283,-0.6527166962623596,-0.09123651683330536
A_P271_H185_s11_g96_o9,655.0,0.47541359066963196,0.13159926235675812,0.47545763850212097,0.13159862160682678,0.10302446037530899,0.15830056369304657,0.9210299849510193,0.6047916412353516,8.811514271656051e-05,3.310665124445222e-05,-231.8832244873047,51.88324737548828,0.8482962250709534,0.36577293276786804,0.00776908453553915,0.5146564245223999,0.1439346969127655,0.11957061290740967,-0.4274146556854248,-0.8158510327339172,-7.100831135176122e-05,-5.2173731091897935e-05,3.0259136110544205e-05,-1.3432612831820734e-05,-0.24824246764183044,0.551496684551239,-0.0790732130408287,0.0389423705637455,-0.7165235280990601,-0.0353609062731266
A_P271_H185_s11_g96_o9,660.0,0.4556889832019806,0.14079883694648743,0.45564424991607666,0.14084485173225403,0.12034466862678528,0.17653094232082367,0.9352791905403137,0.5641185641288757,3.701966488733888e-05,5.618070645141415e-05,-233.36325073242188,53.3632698059082,0.8747471570968628,0.3182297646999359,0.006811694707721472,0.5871115922927856,0.1184411495923996,0.09465861320495605,-0.5271072387695312,-0.7725963592529297,3.700422530528158e-05,-1.0690382623579353e-06,1.148064256994985e-05,5.4995151003822684e-05,-0.18421123921871185,0.5331941246986389,-0.07194682955741882,0.0404394306242466,-0.765730082988739,0.02773170731961727
A_P271_H185_s11_g96_o9,665.0,0.4357461631298065,0.15016688406467438,0.43583399057388306,0.15013055503368378,0.1380186825990677,0.1899244636297226,0.9469233751296997,0.5246081948280334,6.807447061873972e-05,3.963602284784429e-05,-234.9000701904297,54.90005874633789,0.8966639041900635,0.27521374821662903,0.005085380747914314,0.6505537033081055,0.09825071692466736,0.07423257827758789,-0.6147851943969727,-0.7202104330062866,-6.806682358728722e-05,-1.0205221769865602e-06,-1.77648998942459e-05,-3.543194179655984e-05,-0.1306009739637375,0.5080916881561279,-0.06026007607579231,0.038132693618535995,-0.8010464906692505,0.09422443807125092
A_P271_H185_s11_g96_o9,670.0,0.416297972202301,0.1598248928785324,0.4164140522480011,0.15981101989746094,0.15593059360980988,0.19808761775493622,0.9564549922943115,0.4873826205730438,8.695938595337793e-05,1.8102466128766537e-05,-236.61087036132812,56.61088562011719,0.9148061275482178,0.23754183948040009,0.002977563301101327,0.704767107963562,0.0822163075208664,0.05769103765487671,-0.6912718415260315,-0.6610214710235596,-8.693762356415391e-05,-1.9454600987955928e-06,-1.773233998392243e-05,-3.6418905438040383e-06,-0.08739104866981506,0.4794836938381195,-0.045254334807395935,0.03048945963382721,-0.824125349521637,0.15995140373706818
A_P262_H185_s11_g96_o9,600.0,0.2700602114200592,0.02127625234425068,0.2700660824775696,0.021279091015458107,0.024248313158750534,0.057203613221645355,0.3740379214286804,0.6654151678085327,9.876021977106575e-06,2.714130232561729e-06,178.33572387695312,1.6642849445343018,0.13990436494350433,0.4427773356437683,0.15618948638439178,0.006955283228307962,0.7039061188697815,0.5502673983573914,0.36008748412132263,0.1011996865272522,-3.4069016692228615e-06,-9.269781003240496e-06,8.385322871617973e-07,2.5813496904447675e-06,-0.6350982785224915,-0.19856366515159607,-0.20339545607566833,0.3388504981994629,-0.04254664480686188,0.07172908633947372
A_P262_H185_s11_g96_o9,605.0,0.31765854358673096,0.024820413440465927,0.3176557123661041,0.02482570894062519,0.02623981423676014,0.04397276043891907,0.4268556833267212,0.7090519070625305,7.214422566903522e-06,1.3417819900496397e-05,165.35836791992188,14.641644477844238,0.18220578134059906,0.5027546286582947,0.13419540226459503,0.006236562505364418,0.6835988163948059,0.49100881814956665,0.424906849861145,-0.04074239730834961,-2.795912223518826e-06,-6.650621799053624e-06,-1.0577976354397833e-05,8.254955901065841e-06,-0.7000008821487427,-0.1129310131072998,-0.1191590428352356,0.34640493988990784,-0.07472804933786392,0.02553979866206646
A_P262_H185_s11_g96_o9,610.0,0.36545079946517944,0.03226139396429062,0.365520715713501,0.03224029764533043,0.02964753657579422,0.028738345950841904,0.49633318185806274,0.7410308122634888,2.101984864566475e-05,7.218583050416782e-05,154.9619140625,25.038095474243164,0.2463466227054596,0.5491266846656799,0.10470187664031982,0.011921373195946217,0.648951530456543,0.43895193934440613,0.452217161655426,-0.20456363260746002,2.036284604400862e-05,5.214259545027744e-06,1.7359117919113487e-05,-7.006750092841685e-05,-0.7409757971763611,-0.009029019623994827,-0.038793254643678665,0.32124248147010803,-0.10800190269947052,-0.016030050814151764
